Title,Authors,Year,Abstract,DOI,Publisher,citations,source,Keywords,product type,afiliacion_primer_autor,Journal
Helping Novice Programmers to Bootstrap in the Cloud: Incorporating Support for Computational Thinking into the Game Design Process,N. Ahmadi; M. Jazayeri; M. Landoni,2012,"Game design environments are traditionally used as means for engaging non-programmers in the learning process. However, these environments lack specific support for teaching computational thinking to novices. Typically, such skills are acquired in ad hoc practical sessions with supervision provided by teachers or peers. The usual scenario is where a teacher guides the students in solving these problems during a game design session. In informal learning settings, step-by-step tutorials for creating existing games are used to compensate for the lack of computer support for solving design and computational problems. In this paper we suggest a game design process that combines support for computational thinking with tool usage, by identifying the most common computational thinking problems and providing a generic solution to them. We have evaluated our solution in the context of AgentWeb, an online cloud-based game design environment for novices. We discuss how to incorporate suggested computational thinking solutions as computer assistant into the game design user interface.",10.1109/ICALT.2012.24,IEEE,5.0,IEEE,end-user programming;computational thinking;design thinking;game design environments;informal learning;cognitive walkthrough;cloud-based environments,IEEE Conferences,Germany,Computers & Education
Influence of Programming Robot Learning Mode Based on Conceptual Mapping on College Students' Computational Thinking,B. -H. Chen; L. -H. Chen; C. -C. Chen; C. -H. Chen,2021,"As the information age has progressed, computational thinking ability to solve problems has become an indispensable way of life in life. Many scholars believe that the process of solving problems will be more logical if they have computational thinking ability. At the same time, scholars believe that a good learning method improves learners' intrinsic motivation. Therefore, in this research, we try to use conceptual mapping so that students can construct knowledge when composing their own images, as the focus of this learning model and computational thinking is the thinking process and the two coincide. This research intends to introduce the traditional programming robot course into conceptual mapping and measure whether there are differences in computational thinking tendencies, problem-solving tendencies, and intrinsic motivations between students who use conceptual mapping and those who do not use it. The students in the experimental group with conceptual mapping activities developed computational thinking skills during the program robotics course. The students in the control group first watched the computational thinking explanation video to explain the computational thinking skills to the students, and then taught in the traditional programming robotics course.",10.1109/ECICE52819.2021.9645630,IEEE,0.0,IEEE,Concept mapping;computational thinking;programmed robot 10 pts;intrinsic motivation,IEEE Conferences,France,Nature Communications
Computational Thinking Education: Who Let the Dog Out?,S. Swaid; T. Suid,2019,"Today, Computational Thinking is seen as an important competency and the fourth skill that every child should process. Several significant attempts have been made to increase a student's exposure to Computational Thinking at the K-12 level, however the process is complex and requires systematic planning and comprehensive curriculum. In this paper, we describe the STEPP-UP program that aims to introduce middle schoolers to Computational Thinking via Scratch and Java coding sessions. A comprehensive curriculum and hands-on activities are applied to introduce Computational Thinking for a total of 41 students for a period of five semesters from Fall 2017 until Fall 2019. To assess the learning objectives, we used three methods of evaluation; design-scenarios, paper-assessments, and learner-documentation. Findings indicate that the students have increased knowledge of Computational Thinking and its applications for problem solving.",10.1109/CSCI49370.2019.00150,IEEE,4.0,IEEE,"Computational Thinking, K -12, Problem Solving, Java, Scratch Linear Search, Coding Literacy",IEEE Conferences,India,Nature Communications
Teaching mode reform and exploration on the University Computer Basic based on Computational thinking training in Network Environment,Boqin Liu; Junmei He,2014,"Due to the international and domestic education and computer industries and so on computational thinking attaches great importance and has done considerable exploratory research, our school also reform and exploration teaching mode on the University Computer Basic based on Computational thinking training in network environment, and the use of based on Computational thinking Autonomous learning mode in the Network Environment in the actual teaching, strengthen the learners understanding of computer science, corrected the computing disciplines equivalent to the idea of computer programming, enhance the connotation and science significance of computer disciplines, to overcome the computer means “narrow tool” argument,and achieved good teaching results.",10.1109/ICCSE.2014.6926430,IEEE,1.0,IEEE,Computational thinking;The Network teaching auxiliary platform;Autonomous learning mode,IEEE Conferences,Chile,IEEE Transactions on Software Engineering
Computational Thinking & Practical Thinking Inspired Java Web Curriculum Reform Method,F. Yu; H. Wang,2019,"Both Computational thinking and Practical thinking are important concepts of great concern to the international computer community. They are also hot topics needed to be studied in education. Inspired by these two kinds of thinking, we expound how to better carry out teaching practice. The teaching process is task-oriented, teacher-led and student-centered. In the whole teaching process, teachers use the way of integrating computational thinking with practical thinking to prepare courses, design tasks and guide students to complete learning tasks. Compared with the traditional teaching mode, the teaching mode of integrating computational thinking and practical thinking has made great progress in training students' computer practical ability and innovation ability. It can not only improve learning efficiency, but also train students' computer practical ability. Finally, the feasibility and efficiency of this method are verified by Java Web course design.",10.1109/ITME.2019.00078,IEEE,3.0,IEEE,Computational Thinking;Practical Thinking;Java Web,IEEE Conferences,UK,Science Advances
Computational thinking tools,A. Repenning; A. Basawapatna; N. Escherle,2016,"Computational Thinking is an essential skill for all students in the 21st Century. A fundamental question is how can we create computer affordances to empower novice teachers and students, in a variety of STEM and art disciplines, to think computationally while avoiding difficult overhead emerging from traditional coding? Over the last 20 years we have iteratively developed tools that aim to support computational thinking. As these tools evolved a philosophy emerged to support Computational Thinking by joining human abilities with computer affordances. Chief among these findings is that supporting Computational Thinking is much more than making coding accessible. Computational Thinking Tools aim to minimize coding overhead by supporting users through three fundamental stages of the Computational Thinking development cycle: problem formulation, solution expression, and solution execution/evaluation.",10.1109/VLHCC.2016.7739688,IEEE,28.0,IEEE,computational thinking tools;end-user programming;K-12 education;computational thinking,IEEE Conferences,UK,Nature Communications
Improving Computational Thinking Competencies in STEM Higher Education,N. Dehbozorgi; M. Roopaei,2024,"Computational thinking (CT) is a key competency with a significant impact on students' academic performance in STEM fields. It empowers students to enhance problem-solving skills by decomposing problems, utilizing abstraction and pattern recognition, and employing algorithmic thinking to design solutions and build models. This is particularly important in STEM disciplines where logical reasoning is essential for addressing complex real-world challenges in academic and industrial settings. Given the increasing demand for professionals equipped with strong algorithmic thinking and problem-solving abilities in Industry 5, educational institutions are focusing on enhancing students' CT and problem-solving skills. This study presents an initiative conducted over the past two years at our institute to teach CT in a gateway course to students with different backgrounds in STEM fields. The approach involved designing specific learning modules on Abstraction, Decomposition, Pattern Recognition, and Algorithmic Thinking and integrating them into the LMS. After studying these learning modules, the students were exposed to specific assignments that required the application of related CT skills. Pre and post surveys were employed by using standard CT tests to measure the impact of the intervention on students' CT levels. The results indicated an improvement in students' perceptions of their mastery of CT. Academic course grades also showed an improvement, with increased A scores and reduced F grades post-intervention. This two-year study on improving CT skills has yielded promising results. Moving forward, the research aims to enhance the existing modules further and distribute them to a broader range of introductory-level STEM courses in other universities. This future direction aligns with the goal of expanding the impact of CT education and integrating it more widely into STEM curricula.",10.1109/ISEC61299.2024.10664997,IEEE,0.0,IEEE,Computational Thinking;Higher Education;Integrated STEM Education;Student Performance,IEEE Conferences,Spain,Nature Communications
A practical research on the training of middle school students' computational thinking based on problem solving in systematic information process view,M. Zhao; W. Hu,2022,"Computational thinking is the process sequence of solving problems and behaves a method of systematic solving problems. Computational thinking is essentially a view of systematic information processing process. In essence, developing the computational thinking of middle school students is to improve their problem-solving ability and the corresponding practical accomplishment. The instructional activity design based on six links of problem solving can well meet the need of cultivating students’ computational thinking. The instructional mode of systematic problem solving in middle school can improve students’ learning effects and satisfaction, and promote students’ computational thinking ability significantly. The method of systematic information processing process can be trained.",10.1109/ICEKIM55072.2022.00225,IEEE,0.0,IEEE,component;Computation;Computational thinking;Middle school information technology class,IEEE Conferences,Spain,Nature Communications
Computer Science Unplugged for Developing Computational Thinking and Mathematical Thinking,T. Nakamura; T. Kawasaki,2019,"The purpose of this study is to make learning material that can develop both Computational thinking and Mathematical thinking. This study suggest a hamburger flowchart as a teaching material that combines the three elements of ""unplugged"", ""thinking from the end "" and ""mathematics class"". Using this flowchart, basic experiment was conducted for 8 to 12 years old. The purpose of this experiment is to confirm whether it is possible for children to develop both Computational thinking and Mathematical thinking by using the hamburger flowchart. We evaluated both Computational thinking and Mathematical thinking from the state in this class and the content of the worksheet and prior and subsequent tests. As a result, the state related to Computational thinking and Mathematical thinking increased, and the correct answer rate of many children increased from the prior test to the subsequent test. Therefore it turned out that the hamburger flowchart affects mathematical thinking.",10.1109/IJCIME49369.2019.00108,IEEE,2.0,IEEE,21st-century-skills;Computational-thinking;Mathematical-thinking;thinking-from-the-end,IEEE Conferences,Japan,Science Advances
Exploration of ability development of engineering and computational thinking skills in software engineering majors,Z. Deng; W. Huang; R. Dong; P. Wen,2009,"Software talents should have the engineering ability, a common sense in IT industry, which is characterized by the fact that design plays a very important role in software engineering. Basis on the enhancement of computational thinking, the reform ideas of the development of the student's engineering ability are introduced. The detailed approaches include: 1) Extraction of fundamental discipline concept of engineering ability development; 2) Problem solving-centered organization of courses of software development tools; 3) Initiate the courses of software engineering as soon as possible; 4) Continual training of abstract logical thinking for the purpose of software abstract thinking.",10.1109/ICCSE.2009.5228288,IEEE,1.0,IEEE,software engineering;Computational thinking;design;abstract,IEEE Conferences,Germany,Journal of Machine Learning Research
Performance-based evaluation of computational thinking skills using machine learning,E. Karakaş; M. Turhan Yöndem,2020,"This thesis study is an evaluation tool that measures the user's Computational Thinking (CT) according to its performance on Block-Based Programming Languages (BBPL) by using Machine Learning Techniques. The evaluation tool makes an evaluation for Machine Learning Model and each of the Computational Thinking seven fields. Via this developed tool, the objective is to product an alternative to the limited evaluation tools on Block-Based Programming Languages. Literature research was brought out in two sides as Machine Learning and Block-Based Programming Languages. In the first stage, on Machine Learning, the data set and the methods used in educational field were researched. In the second stage, the devices which are used to measure the performance on Block- Based Programming Languages were analyzed. On literature, there are various sources for teaching Computational Thinking ,but it occurs that measuring instruments that evaluates Computational Thinking are inadequate. To evaluate Computational Thinking a machine learning model was trained. Trained model was turned into online evaluation tool by which both the tutors and the students evaluate Computational Thinking easily. In the final stage, the developed online evaluation tool and the outcome was analyzed.",10.1109/UYMS50627.2020.9247066,IEEE,0.0,IEEE,Machine Learning;Block-Based Programming Languages;Computational Thinking,IEEE Conferences,Chile,Nature Communications
A Guide Towards a Definition of Computational Thinking in K-12,R. Ismail; T. A. Steinbach; C. S. Miller,2022,"Computational thinking (CT) has been described as a set of valuable skills for tackling complex problems. To foster CT among K-12 students, different initiatives have been introduced by governmental and non-governmental entities, and numerous studies have been carried out by researchers to define and integrate CT into school curriculum. However, previous studies has shown little agreement among researchers, governmental and non-governmental sectors about a unified CT definition. These dissensions have introduced challenges in formulating a definition for CT at the K-12 level. The absence of a unified definition may increase the challenges for teachers to teach and integrate CT into school curriculum. To foster CT among K-12 students, we introduce a definition and framework for CT. We evaluated 39 articles and extracted the most common elements used in the literature to frame CT definition and describe its elements. Several studies have discussed, as well as investigated, the significance of conceptualizing and comprehending the interaction and dependency relationships among computational objects. However, our literature review discovered that little attention has been dedicated to the concept of dependency in the CT body of knowledge. Based on the literature review, we define CT as the thought process used for solving problems, and it encompasses the elements of problem decomposition, abstraction, and algorithmic thinking. We conjecture the CT definition is missing the element of dependency. In the context of CT, we define dependency as the knowledge of comprehending the interrelationships between different sections of a decomposed problem.",10.1109/EDUCON52537.2022.9766703,IEEE,0.0,IEEE,Computational Thinking (CT);K-12 Education;Dependency;Abstraction;Decomposition;Algorithmic Thinking,IEEE Conferences,India,Computers & Education
Fostering computational thinking skills with a tangible blocks programming environment,T. Turchi; A. Malizia,2016,"Computational Thinking has recently returned into the limelight as an essential skill to have for both the general public and disciplines outside Computer Science. It encapsulates those thinking skills integral to solving complex problems using a computer, thus widely applicable in our technological society. Several public initiatives such as the Hour of Code successfully introduced it to millions of people of different ages and backgrounds, mostly using Blocks Programming Environments like Scratch that lower the barriers of programming and facilitate learning. In this paper we present our arguments for fostering Computational Thinking skills using a Blocks Programming Environment augmented with a Tangible User Interface, namely by exploiting objects whose interactions with the physical environment are mapped to digital actions performed on the system. Our demonstration includes a working prototype implementing our Tangible Blocks Programming Environment called TAPAS.",10.1109/VLHCC.2016.7739692,IEEE,12.0,IEEE,Computational Thinking;Tangible User Interface;End-User Programming,IEEE Conferences,Japan,Computers & Education
The effects of constructing robot-based storytelling system on college students' computational thinking skill and technology comprehension,C. -C. Hu; M. -H. Chen; I. Yuadi; N. -S. Chen,2022,"Recent college students have been observed to be motivated and engaged in acquiring information and communication technology (ICT) knowledge and skills with robots and digital media. The purpose of this study is to develop students’ technology comprehension through a learning activity by constructing robot-based storytelling systems. A sample of 15 college students participated in the program. Data collected include the pre-and post-computational thinking tests (CTt) and computational thinking skill (CTs) tests for evaluating their learning effects of technology comprehension (TC) in terms of computational thinking knowledge and skills and their perceptions toward the robot-based storytelling development environment and learning activities. The results show that the learning activities were an effective approach for enhancing the students’ TC as shown in the post-test. The differences between the students’ CT and perceptions were also confirmed. The results revealed that the learning activities with the robot-based storytelling development environment could improve the students’ TC knowledge and skills, and learning perceptions.",10.23919/ICACT53585.2022.9728803,IEEE,4.0,IEEE,Technology comprehension;Computational thinking;Robot-based storytelling;Information and communication technology,IEEE Conferences,India,Journal of Machine Learning Research
Design and implementation of a graphical programming class for computational thinking in elementary schools,T. Xue; S. He; W. Guo,2024,"As the process of artificial intelligence progresses, it is recognized that computational thinking is one of the basic skills for understanding and solving problems and one of the core literacies of the IT discipline. There are various ways to develop students’ computational thinking, and at the primary and secondary school levels, graphical programming classes are an important way to do so. This study establishes a framework for an instructional program aimed at developing students’ computational thinking skills based on elementary school graphic programming classes. Combining curriculum standards, graphic programming standards for youth programming skills, and International Computational Thinking Challenge standards, relevant teaching cases are designed to foster students’ computational thinking and promote the development of computational concepts, computational practices, and computational concepts.",10.1109/ISET61814.2024.00081,IEEE,0.0,IEEE,Computational Thinking;Graphical Programming;Teaching,IEEE Conferences,Italy,Science Advances
Assessment of Computational Thinking in regular basic education: case I.E.T.P. “José Obrero”,R. P. Curasma; N. J. Jara; H. P. Curasma; V. C. Ornetta,2019,"In regular basic education environments, one of the challenges of Computer and Computing courses or similar is to motivate students, who perceive programming as a difficult task. Arduino board is recognized as a tool to improve programming skills and to facilitate teamwork. In this paper, Computational Thinking is evaluated through concepts, practices and computational perspectives of the activities carried out with the Arduino board by the 5th-grade students of secondary education of the “José Obrero” Parochial Technical Educational Institution in the district of San Mateo from the province of Huarochirí of Lima region.",10.1109/INTERCON.2019.8853613,IEEE,0.0,IEEE,Computational thinking;computational dimensions;Arduino;programming;coding;regular basic education,IEEE Conferences,Australia,Journal of Computer Science
The research on online independent learning model based on computational thinking,X. Zhou,2011,"The online independent learning is one of the topics, which is currently focused by educational technology. Computational thinking is another important concept that international computer field widely concerned on. With the feature of online learning model, this paper builds Online Independent Learning Model Based on Computational Thinking (OILMCT). Comparing with the traditional teaching model, the OILMCT makes a great improvement in developing learners' self-building knowledge and the capability of innovative thinking. Not only improve the learning efficiency, but also make learners' computational thinking capability getting progress.",10.1109/ICEBEG.2011.5881653,IEEE,0.0,IEEE,computational thinking;online environment;independent learning,IEEE Conferences,Australia,PLOS ONE
Fractal Geometry: Enhancing Computational Thinking with MIT Scratch,R. Vinayakumar; K. Soman; P. Menon,2018,"Recent developments in pedagogy have focused upon computational thinking. Computational thinking provides a way to solve the problem and it is a key practice of science education. The importance of computational thinking is rarely found in K-12 education. Computational thinking is a an important skill everyone needs and it is correlated with many other concepts. These factors have made the development of new tools and syllabus. In this paper, we aim to show the experiments of fractal geometry using MIT Scratch. These computational exercises facilitate to learn many of computational thinking skills that are very important for the people in the near future. Based on our experience with students, we claim that the concept of fractal and its implementation in MIT Scratch is the best practices to improve computational thinking in K-12 school level students.",10.1109/ICCCNT.2018.8494172,IEEE,1.0,IEEE,Computational thinking;fractal geometry;Scratch;K-12 education;block based programming;21st century learning skills,IEEE Conferences,Germany,Science Advances
CS for ALL: Introducing Computational Thinking with Hands-On Experience in College,A. Jung; J. Park; A. Ahn; M. Yun,2017,"CS for ALL is a new education initiative launched in 2016 to empower a generation of American students with the computer science skills they need to thrive in a digital economy. In order to keep up with trends in the growing technology-driven world, students should have the ability to analyze and consider the consequences of computing problems critically. However, introducing CS and computational thinking skills to the first year students in college is a difficult task because the nature of the subject tends to be dry and conceptual. Thus, we introduce a computer science course that helps all undergraduate students to prepare for digital life as well as enhance their critical thinking skills through hands-on learning experiences. The course contents introduce the general concept of computer science such as computing system, basic networking, algorithms and programming with Scratch and mBot robot exercises. Our student feedback shows a high level of enthusiasm and engagement among the students. The strong hands-on learning nature of the course helped our students to have more engaging and interactive classroom experiences.",10.1109/CSCI.2017.187,IEEE,0.0,IEEE,Computer Science Education;Computational Thinking;Hands-on;Robot programming,IEEE Conferences,UK,Journal of Computer Science
Comparing computational thinking skills of engineering students in urban and rural areas of Peru,N. A. Nunez; G. Cornejo-Meza; S. A. Sánchez,2020,"The present study focuses on comparing the achievement levels of computational thinking skills in first-year engineering students at two Peruvian universities, one located in an area with a high human development index (Lima) and the other in a more vulnerable area (Amazonas). The study is based on a computational thinking competence assessment model carried out with 112 students who were given challenges and problems. The results show that: (a) the achievement levels of computational thinking competences differ significantly between the Lima group and the Amazonas group, (b) the highest levels of competence achievement are associated with students who had some level of previous instruction in secondary education, and (c) the differences in the achievement of computational thinking skills according to student gender are not significant.",10.1109/ANDESCON50619.2020.9272097,IEEE,2.0,IEEE,computational thinking;education in engineering;Peru;Latin America;vulnerable environments,IEEE Conferences,Argentina,Computers & Education
Research on group-based learning teaching mode to computational thinking ability development based on Blackboard system,Y. Wang; S. Li,2021,"Under the background of modern computer science education, the development of students' computational thinking ability and programming problem solving skills is the most important work. This paper researches on group-based learning teaching mode to computational thinking ability development based on Blackboard system, which explores a suitable learning way in terms of learner cognitive engagement and constructivist perspective using Blackboard system, and emphasizes the student's subject position in learning and the teacher's dominant position in teaching. It can also enhance the interaction between the teacher and the student, a positive teacher-student relationship facilitates affective learning, thus developing the educational process and making it more comfortable. This paper discusses the development of computational thinking ability and Blackboard system, and the current situation of the computer teaching. Then put forward the key elements of course content selection in computer science education, and designed a group-based learning teaching mode to computational thinking ability development based on Blackboard system.",10.1109/EIMSS53851.2021.00021,IEEE,1.0,IEEE,computational thinking;group-based learning teaching mode;computer science education,IEEE Conferences,India,PLOS ONE
