Journal,Title,Cantidad
ACM Transactions on Graphics,Computational thinking for youth in practice,1
ACM Transactions on Graphics,Computational thinking in CS teaching materials: a pilot study,1
ACM Transactions on Graphics,Computational thinking in the era of data science,1
ACM Transactions on Graphics,Computational thinking through children's games: an analysis of interaction elements,1
ACM Transactions on Graphics,Computational thinking with the web crowd using CodeMapper,1
ACM Transactions on Graphics,Container terminal logistics scheduling and decision-making within the conceptual framework of computational thinking,1
ACM Transactions on Graphics,Creating an Appropriate Computer Science and Computational Thinking Graduate Curriculum for K–12 Teachers: Context and Initial Results,1
ACM Transactions on Graphics,Critical Systems Practice 2 – Produce an Intervention Strategy,1
ACM Transactions on Graphics,Crohn's & Colitis 360significance,1
ACM Transactions on Graphics,Curriculum Design of Artificial Intelligence in Middle School - Taking Posture Recognition as an Example,1
ACM Transactions on Graphics,DISSECT: Exploring the relationship between computational thinking and English literature in K-12 curricula,1
ACM Transactions on Graphics,DWES: A Dynamic Weighted Evaluation System for Scratch based on Computational Thinking,1
ACM Transactions on Graphics,Data-driven Analysis of Elementary School Students’ Computational Thinking through Scratch Projects,1
ACM Transactions on Graphics,Deductive method with Sample Problems on Computational Object Knowledge Base and construct to intelligent educational softwares,1
ACM Transactions on Graphics,Design Thinking for Computational Creativity – a Case Study of International Exchanges Using Game and Animation (2014-Recent),1
ACM Transactions on Graphics,Design and Evaluation of a Deep Learning Recommendation Based Augmented Reality System for Teaching Programming and Computational Thinking,1
ACM Transactions on Graphics,Design and Implementation of HPC-Based Research-Oriented Learning Environment for Structural Chemistry,1
ACM Transactions on Graphics,Design of Java Interactive System Pattern based on Computational Thinking,1
ACM Transactions on Graphics,"Design-Computational Thinking, Transfer and Flavors of Reuse: Scaffolds to Information and Data Science for Sustainable Systems in Smart Cities",1
ACM Transactions on Graphics,Developing Computational Thought in Mathematics through Educational Robotics in Basic Education: A practical research analysis,1
ACM Transactions on Graphics,"Developing the computational thinking process in Physics courses, an empirical study for the learning of the rigid body concept in engineering students",1
ACM Transactions on Graphics,Development and Validation of the Computational Thinking Concepts and Skills Test,1
ACM Transactions on Graphics,Development of computational thinking and collaborative learning in kindergarten using programmable educational robots: a teacher training experience,1
ACM Transactions on Graphics,Dynamics and Statistics of the Climate Systemsignificance,1
ACM Transactions on Graphics,EP Europacesignificance,1
ACM Transactions on Graphics,Early validation of computational thinking pattern analysis,1
ACM Transactions on Graphics,"Edmund Berkeley, computers, and modern methods of thinking",1
ACM Transactions on Graphics,Educational Robotics and Computer Programming in Early Childhood Education: A Conceptual Framework for Assessing Elementary School Students’ Computational Thinking for Designing Powerful Educational Scenarios,1
ACM Transactions on Graphics,Effectiveness of marker-based augmented reality game on computational thinking skills and cognitive load for middle school students,1
ACM Transactions on Graphics,Elementary Computational Thinking Instruction and Assessment: A Learning Trajectory Perspective,1
ACM Transactions on Graphics,Embracing Mathematical Conjecture Through Coding and Computational Thinking,1
ACM Transactions on Graphics,Enhancing Confidence in Using Computational Thinking Skills via Playing a Serious Game: A Case Study to Increase Motivation in Learning Computer Programming,1
ACM Transactions on Graphics,Enhancing Student Engagement in Computational Physics through Project-Based Learning: An Exploration of VBA Physics Simulation,1
ACM Transactions on Graphics,Environmental Epigeneticssignificance,1
ACM Transactions on Graphics,"Environmental, climatic, socio-economic factors and non-pharmacological interventions: A comprehensive four-domain risk assessment of COVID-19 hospitalization and death in Northern Italy",1
ACM Transactions on Graphics,European Journal of International Lawsignificance,1
ACM Transactions on Graphics,Evaluation of the ROOT Robot System and Curriculum to Improve Computational Thinking in Chinese Children,1
ACM Transactions on Graphics,Exploration and practice of online and offline mixed teaching mode based on PBL in basic computer courses,1
ACM Transactions on Graphics,Exploration of New Teaching Method Applied in C++ Course Combined with Students’ Majors,1
ACM Transactions on Graphics,Exploring Computational Thinking Across Disciplines Through Student-Generated Artifact Analysis,1
ACM Transactions on Graphics,Exploring Computational Thinking Perspectives in Black Communities with Physiological Computing,1
ACM Transactions on Graphics,Exploring Teachers’ PCK for Computational Thinking in Context,1
ACM Transactions on Graphics,Exploring the HONO source during the COVID-19 pandemic in a megacity in China,1
ACM Transactions on Graphics,Facilitation by using Robotics Teaching and Learning,1
ACM Transactions on Graphics,Food for Advanced Computational Thinking: Critical and Creative Approaches to Technology at Te Kura Taurua Manurewa,1
ACM Transactions on Graphics,Formal Concept Analysis of Students’ Solutions on Computational Thinking Game,1
ACM Transactions on Graphics,Formalizing Problem Solving in Computational Thinking : an Ontology approach,1
ACM Transactions on Graphics,"Fostering computational thinking in engineering education: Challenges, examples, and best practices",1
ACM Transactions on Graphics,French Studies Bulletinsignificance,1
ACM Transactions on Graphics,From Algorithmic to Computational Thinking: On the Way for Computing for all Students,1
ACM Transactions on Graphics,From Embodied Doing to Computational Thinking in Kindergarten: A Punctuated Motor Control Model,1
ACM Transactions on Graphics,From computational thinking to computational making,1
ACM Transactions on Graphics,From computational thinking to computational values,1
ACM Transactions on Graphics,GK-12 DISSECT: Incorporating computational thinking with K-12 science without computer access,1
ACM Transactions on Graphics,Geneticssignificance,1
ACM Transactions on Graphics,"Genomics, Proteomics & Bioinformaticssignificance",1
ACM Transactions on Graphics,GeoEd'19: Proceedings of the 1st ACM SIGSPATIAL International Workshop on Geo-computational Thinking in Education,1
ACM Transactions on Graphics,Granular computing approach for the design of medical data classification systems,1
ACM Transactions on Graphics,HCO-RLF: Hybrid classification optimization using recurrent learning and fuzzy for COVID-19 detection on CT images,1
ACM Transactions on Graphics,Hash-Based Convolutional Deep-thinking Pattern Classifier,1
ACM Transactions on Graphics,Horticulture Researchsignificance,1
ACM Transactions on Graphics,Hot Spots and Trends of Computational Thinking Research in China CiteSpace visualization and analysis based on CNKI data,1
ACM Transactions on Graphics,Impact of Computational Thinking in Engineering and K12 Education,1
ACM Transactions on Graphics,Incorporating Real World Examples in a Random Signal Analysis Course,1
ACM Transactions on Graphics,Influence of College Teacher’s Instructional Design on the Development of College Students’ Thinking of Innovation Multi-Algorithms Perspective Analysis,1
ACM Transactions on Graphics,Influence of Gender on Computational Thinking,1
ACM Transactions on Graphics,"Innovative practice teaching mode, pay attention to students' practice ability training Reforming the practice teaching modes of “The Fundamentals of Computer”",1
ACM Transactions on Graphics,Innovative practices teaching mode research of the fundamentals of computer,1
ACM Transactions on Graphics,Interdisciplinary CardioVascular and Thoracic Surgerysignificance,1
ACM Transactions on Graphics,Interdisciplinary education in vocational education and training: Supporting joint up thinking — Some insites in lecturing,1
ACM Transactions on Graphics,International Journal of Transitional Justicesignificance,1
ACM Transactions on Graphics,International Mathematics Research Noticessignificance,1
ACM Transactions on Graphics,International Studies Perspectivessignificance,1
ACM Transactions on Graphics,Investigating pre-service teachers' computational thinking through lesson design using digital technologies,1
ACM Transactions on Graphics,Investigating the Role of Cognitive Abilities in Computational Thinking for Young Learners,1
ACM Transactions on Graphics,Investigation on Computational Thinking of Normal Students Based on Technology Acceptance Model,1
ACM Transactions on Graphics,Invited Panel: A Dialogue on Socio- Technical Systems and Situation Awareness,1
ACM Transactions on Graphics,Joint Traditional and Company-Based Organization of Information Systems and Product Development Courses,1
ACM Transactions on Graphics,Journal of Applied Microbiologysignificance,1
ACM Transactions on Graphics,Journal of Economic Entomologysignificance,1
ACM Transactions on Graphics,Journal of Industrial Microbiology and Biotechnologysignificance,1
ACM Transactions on Graphics,Journal of Occupational Healthsignificance,1
ACM Transactions on Graphics,Journal of Plant Ecologysignificance,1
ACM Transactions on Graphics,Journal of Surgical Case Reportssignificance,1
ACM Transactions on Graphics,Journal of Surgical Protocols and Research Methodologiessignificance,1
ACM Transactions on Graphics,Journal of the History of Collectionssignificance,1
ACM Transactions on Graphics,Journal of the Royal Statistical Society Series C: Applied Statisticssignificance,1
ACM Transactions on Graphics,KnitxCode: Exploring a Craftsmanship-driven Approach to Computational Thinking,1
ACM Transactions on Graphics,Knowledge Management in Computer-Supported Learning,1
ACM Transactions on Graphics,Knowledge acquisition at human-computer interaction for product definition,1
ACM Transactions on Graphics,"Latent Class Analysis Reveals, in patient profiles, COVID-19–related better prognosis by calcifediol treatment than glucocorticoids",1
ACM Transactions on Graphics,Let Computational Thinking Permeate Biostatistics Education of Public Health Students,1
ACM Transactions on Graphics,Literary Imaginationsignificance,1
ACM Transactions on Graphics,Little Engineers: Young Children's Learning Patterns in an Educational Robotics Project,1
ACM Transactions on Graphics,London Review of International Lawsignificance,1
ACM Transactions on Graphics,Longitudinal correlates of learning burnout among Chinese adolescents during the COVID-19 pandemic: A cross-lagged panel network analysis,1
ACM Transactions on Graphics,Low-Cost Educational Robotics Car Promotes STEM Learning and 21st Century Skills,1
ACM Transactions on Graphics,Mathematical modeling and development of variational thinking in engineering students,1
ACM Transactions on Graphics,MiDroid: An open mobile platform for learning focused on microcontrollers' education,1
ACM Transactions on Graphics,Mind the Gap: The Illusion of Skill Acquisition in Computational Thinking,1
ACM Transactions on Graphics,Modeling organizational adaptation: A replication of Levinthal’s model of emergent order,1
ACM Transactions on Graphics,Modern Rheumatologysignificance,1
ACM Transactions on Graphics,Monthly Notices of the Royal Astronomical Society: Letterssignificance,1
ACM Transactions on Graphics,Mutual Improvement between Teaching Materials and Assessment Tools for K-12 Programming Education,1
ACM Transactions on Graphics,National Science Reviewsignificance,1
ACM Transactions on Graphics,Nephrology Dialysis Transplantationsignificance,1
ACM Transactions on Graphics,OAH Magazine of Historysignificance,1
ACM Transactions on Graphics,On the Development of Computer Thinking in the Process of Modern Teaching,1
ACM Transactions on Graphics,On the Educational and Professional Implications of Integrating Mind Mapping in Software Testing,1
ACM Transactions on Graphics,On the Epistemological Aspects of Geo-Computational Thinking and Curriculum Design,1
ACM Transactions on Graphics,On the fusion and transference of knowledge. II,1
ACM Transactions on Graphics,"OntoCnE, characterizing Learning Resources for training Computational Thinking",1
ACM Transactions on Graphics,Optimizing learning in associative networks and gamification: Lessons learnt and implications,1
ACM Transactions on Graphics,P system with Innate Immunity,1
ACM Transactions on Graphics,PNAS Nexussignificance,1
ACM Transactions on Graphics,PREFACE,1
ACM Transactions on Graphics,Performance analysis of granular computing model based on Fuzzy based linear programming problem,1
ACM Transactions on Graphics,Playing a Computational Thinking Game using Hand Gestures,1
ACM Transactions on Graphics,Political Science Quarterlysignificance,1
ACM Transactions on Graphics,Position: Building Blocks for Agent-based Modeling Can Scaffold Computational Thinking Engagement in STEM Classrooms,1
ACM Transactions on Graphics,Product modeling beyond information,1
ACM Transactions on Graphics,Progression Of Computational Thinking Skills In Swedish Compulsory Schools With Block-based Programming,1
ACM Transactions on Graphics,Promoting Children's Critical Thinking Towards Robotics through Robot Deception,1
ACM Transactions on Graphics,Promoting computational thinking and creativeness in primary school children,1
ACM Transactions on Graphics,Promoting computational thinking with programming,1
ACM Transactions on Graphics,Proposal of a conceptual modeling learning environment with task/model management functions,1
ACM Transactions on Graphics,Publius: The Journal of Federalismsignificance,1
ACM Transactions on Graphics,RPP for Geocomputation: Partnering on Curriculum in Geography and Computer Science,1
ACM Transactions on Graphics,Real Time Assessment of Computational Thinking,1
ACM Transactions on Graphics,Reframing Digital Curation Practices through a Computational Thinking Framework,1
ACM Transactions on Graphics,Relationship matters: Using machine learning methods to predict the mental health severity of Chinese college freshmen during the pandemic period,1
ACM Transactions on Graphics,Repair strategies for nonunion in old osteoporotic vertebral compression fractures: a case analysis,1
ACM Transactions on Graphics,Research into the computational thinking for the teaching of computer science,1
ACM Transactions on Graphics,Research on Optimization of Teaching Mode of Biochemistry Course Based on Internet Thinking,1
ACM Transactions on Graphics,Research on Teaching Effectiveness of Computational Thinking Based on Service Learning,1
ACM Transactions on Graphics,Research on Teaching Reform for Python Programming Curriculum Based on AIGC-CDIO-OBE Model,1
ACM Transactions on Graphics,Research on the Application of Module System in the Field of CG Painting,1
ACM Transactions on Graphics,Research on the Improvement of Teachers' Computational Thinking Teaching Ability Based on STEM86 Platform,1
ACM Transactions on Graphics,RoboSTEAM - A Challenge Based Learning Approach for integrating STEAM and develop Computational Thinking,1
ACM Transactions on Graphics,Robust Segmentation of COVID-19 Chest X-Ray Images: Analysis of Variant k-Means Based Clustering Algorithms,1
ACM Transactions on Graphics,STEM Education Activities Development to Promote Computational Thinking’s Students,1
ACM Transactions on Graphics,Scenario Forming and Evaluation Analyzing,1
ACM Transactions on Graphics,Scratching the surface of digital literacy… but we need to go deeper,1
ACM Transactions on Graphics,Searching for Early Developmental Activities Leading to Computational Thinking Skills,1
ACM Transactions on Graphics,Seeking the Treasures of Theoretical Computer Science Education: Towards Educational Virtual Reality for the Visualization of Finite State Machines,1
ACM Transactions on Graphics,Selection and Scheduling of Actions for Innovation Capabilities Improvement,1
ACM Transactions on Graphics,"ShaShen-MaiDong decoction attenuates bleomycin-induced pulmonary fibrosis by inhibiting TGF-β/smad3, AKT/MAPK, and YAP/TAZ pathways",1
ACM Transactions on Graphics,Situating Computational Thinking with Big Data: Pedagogy and Technology (Abstract Only),1
ACM Transactions on Graphics,Specific Didactic Strategies Used for the Development of Computational Thinking in the Female Collective in Primary and Secondary Education: A Systematic Review Protocol,1
ACM Transactions on Graphics,Strengthening Computational Thinking within Upper Elementary Classrooms: A Strategy for Broadening Participation in Computer Science,1
ACM Transactions on Graphics,Study on the design of graduate education management system based on design thinking,1
ACM Transactions on Graphics,Supporting Teacher Understanding of Computational Thinking Integration into Early Elementary Curricula,1
ACM Transactions on Graphics,Supporting Teachers to Integrate Computational Thinking Equitably,1
ACM Transactions on Graphics,Supporting the development of multimodal writing and computational thinking skills through computer game creation,1
ACM Transactions on Graphics,"Synthesis, characterization, DFT and molecular docking study of an antiviral drug, the crystallized 6-methoxylated derivative of favipiravir, in the presence of an iron (III) Lewis acid.",1
ACM Transactions on Graphics,Systems Thinking in Software Projects-an Artificial Neural Network Approach,1
ACM Transactions on Graphics,Teacher Education and Computational Thinking: Measuring Pre-service Teacher Conceptions and Attitudes,1
ACM Transactions on Graphics,Teachers' attitudes towards implementing coding at schools,1
ACM Transactions on Graphics,Teaching Computational Thinking and Spatial Visualization in K-12 with 3D Weather Visualizations,1
ACM Transactions on Graphics,Teaching Computational Thinking by Playing Games and Building Robots,1
ACM Transactions on Graphics,Teaching Computational Thinking to a Student with Attention Deficit Through Programming,1
ACM Transactions on Graphics,Teaching Research on Database Principle and Application Course Based on Computing Thinking and CDIO Mode,1
ACM Transactions on Graphics,Teaching Strategy of Programming Course Guided by Neuroeducation,1
ACM Transactions on Graphics,Teaching programming based on Computational Thinking,1
ACM Transactions on Graphics,The Development of Computational Thinking in Computing Higher Education,1
ACM Transactions on Graphics,The Econometrics Journalsignificance,1
ACM Transactions on Graphics,The Effectiveness of Self-Directed Learning in Developing Computational Thinking of Middle School Students,1
ACM Transactions on Graphics,The Impact of Playing Multiplayer Online Battle Arena Video Games on the Enhancement of Computational Thinking Skills Among Students in Indonesia,1
ACM Transactions on Graphics,The Impact of Sensory Branding and Technology on Consumer Behavior in Physical Retail Experience Design: A Multi-generational Experimental Study,1
ACM Transactions on Graphics,The Influence of Problem Solving Based Practice on Pupils' Computational Thinking,1
ACM Transactions on Graphics,The Internet of Materials: A Vision for Computational Materials,1
ACM Transactions on Graphics,The Journal of Aesthetics and Art Criticismsignificance,1
ACM Transactions on Graphics,The Journal of Applied Laboratory Medicinesignificance,1
ACM Transactions on Graphics,The Quarterly Journal of Mathematicssignificance,1
ACM Transactions on Graphics,The Review of Financial Studiessignificance,1
ACM Transactions on Graphics,The Role of Computational Thinking Practices in Making: How Beginning Youth Makers Encounter \&amp; Appropriate CT Practices in Making,1
ACM Transactions on Graphics,The World Bank Economic Reviewsignificance,1
ACM Transactions on Graphics,ThinkCarpet: Potentializing Computational Thinking with Educational Robotics in Middle School,1
ACM Transactions on Graphics,Three +1 Perspectives on Computational Thinking,1
ACM Transactions on Graphics,Toward General AI: Consciousness Computational Modeling Under Uncertainty,1
ACM Transactions on Graphics,Towards a Conceptual Model for a Smart Open learning environment based on Computational Thinking,1
ACM Transactions on Graphics,Towards an Online Service for Learning Computational Thinking Using Scientific Workflows,1
ACM Transactions on Graphics,Towards the development of computational thinking in students through games,1
ACM Transactions on Graphics,Training Teachers to Integrate Computational Thinking into K-12 Teaching,1
ACM Transactions on Graphics,Transactions of the Linnean Society of London. 2nd Series. Zoologysignificance,1
ACM Transactions on Graphics,Transactions of the London Mathematical Societysignificance,1
ACM Transactions on Graphics,Trusts & Trusteessignificance,1
ACM Transactions on Graphics,T{h}inker: A Physical Computing Tool Kit for Computational Thinking,1
ACM Transactions on Graphics,Using Educational Videos on The Internet as A Form of E-Learning to Support the Development of Computational Thinking,1
ACM Transactions on Graphics,Using Open Technology to Bring Computational Thinking Activities to the Outdoors,1
ACM Transactions on Graphics,Validation of a Bebras-Based Test to Assess Computational Thinking Abilities in First-Year College Students,1
ACM Transactions on Graphics,Western Journal of Applied Forestrysignificance,1
ACM Transactions on Graphics,Work in progress - connecting laboratory experiments to theory through simulation,1
ACM Transactions on Graphics,Work in progress — The video scenario approach for developing computational and entrepreneurial thinking skills,1
ACM Transactions on Graphics,Work in progress: Llup'ix,1
ACM Transactions on Graphics,Work-in-progress—Developing an Evidence-Centered Model for Computational Thinking in Virtual Worlds with Children with Autism,1
ACM Transactions on Graphics,cs4fn and computational thinking unplugged,1
ACM Transactions on Graphics,in silico Plantssignificance,1
Computers & Education,1 WHAT IS COMPUTATIONAL THINKING?,1
Computers & Education,6 DESIGNING FOR HUMANS,1
Computers & Education,A Computational-thinking-oriented Progressive Teaching Mode for Python Course,1
Computers & Education,A Design Thinking Process Model for Capturing and Formalizing Design Intents,1
Computers & Education,A Guide Towards a Definition of Computational Thinking in K-12,1
Computers & Education,A Model for CEO Strategic Leadership Evaluation Based on Information Entropy and Unascertained Measure,1
Computers & Education,A Model of Computational Creativity based on Engram Cell Theory,1
Computers & Education,A Model of Cultivating Computational Thinking Based on Visual Programming,1
Computers & Education,A Study on the Impact of Multidisciplinary Collaboration on Computational Thinking,1
Computers & Education,A Summer Computing Camp Using ChainReaction and jABC,1
Computers & Education,A Systematic Approach to Catalogue Learning Resources that Promote Computational Thinking,1
Computers & Education,A computational thinking course accessible to non-stem majors,1
Computers & Education,A method for assessing computational thinking in students using source code analysis,1
Computers & Education,A novel interdisciplinary course in gerontechnology for disseminating computational thinking,1
Computers & Education,"A review of models for introducing computational thinking, computer science and computing in K-12 education",1
Computers & Education,A robotics-based approach to foster programming skills and computational thinking: Pilot experience in the classroom of early childhood education,1
Computers & Education,"A square planar cobalt(II)-thiosemicarbazone complex. Synthesis, characterization, antiviral and anti-inflammatory potential",1
Computers & Education,A strategy to assess computational thinking,1
Computers & Education,A systematic mapping study on assessing computational thinking abilities,1
Computers & Education,ARQuest: A Tangible Augmented Reality Approach to Developing Computational Thinking Skills,1
Computers & Education,Acceptance of Unified Communications and Collaboration Applications Among Students: A Case Study of University in Sumbawa Island Indonesia,1
Computers & Education,Aligning Computing Education with engineering workforce computational needs: New curricular directions to improve computational thinking in engineering graduates,1
Computers & Education,Alternate realities for computational thinking,1
Computers & Education,American Entomologistsignificance,1
Computers & Education,American Journal of Clinical Pathologysignificance,1
Computers & Education,American Journal of Hypertensionsignificance,1
Computers & Education,An Effective Microlearning Approach Using Living Book to Promote Vocational Students' Computational Thinking,1
Computers & Education,An agentbased modelling methodology for the investigation of complex adaptive production networks,1
Computers & Education,An informatics perspective on computational thinking,1
Computers & Education,Analysis of donor characteristics in a Tertiary Hospital Blood Center in Indonesia,1
Computers & Education,Analysis of the causes of employment satisfaction of fresh graduates from colleges and universities --- Mediating variables based on school employment services,1
Computers & Education,Analysis of the relationship between computational thinking and mathematical abstraction in primary education,1
Computers & Education,Annals of Behavioral Medicinesignificance,1
Computers & Education,Artificial Cognitive Systems That Can Answer Human Creativity Tests: An Approach and Two Case Studies,1
Computers & Education,Assessing primary school students' intrinsic motivation of computational thinking,1
Computers & Education,Assessment of Subjective Creativity Skill Using EEG Induced Capsule Network,1
Computers & Education,BJA: British Journal of Anaesthesiasignificance,1
Computers & Education,BJR|Case Reportssignificance,1
Computers & Education,Benefits of Computational Thinking in Entrepreneurship,1
Computers & Education,Best Practices for Developing Computational Thinking,1
Computers & Education,BingBee @ RaglanRoad - A field trial with unattended educational kiosks,1
Computers & Education,Bioinformatics Advancessignificance,1
Computers & Education,Biology of Reproductionsignificance,1
Computers & Education,Biometrikasignificance,1
Computers & Education,Breaking Visual Barriers: Advanced Neural Networks in Image Layering,1
Computers & Education,Bridging the Gap: Computational Thinking as a Pathway to Equitable Math Education for Neurodiverse Learners,1
Computers & Education,Briefings in Bioinformaticssignificance,1
Computers & Education,British Journal of Dermatologysignificance,1
Computers & Education,Building Conceptual Models and Engineering Design Thinking in K12 Students,1
Computers & Education,Bulletin of the London Mathematical Societysignificance,1
Computers & Education,COEDU-IN Project: an inclusive co-educational project for teaching computational thinking and digital skills at early ages,1
Computers & Education,Case Studies About Moral Dilemas to Apply Ethical Theories in Engineering Education,1
Computers & Education,Clinical Kidney Journalsignificance,1
Computers & Education,Co-Designing Machine Learning Apps in K–12 With Primary School Children,1
Computers & Education,Cognitive function and brain structure in COVID-19 survivors: The role of persistent symptoms,1
Computers & Education,Collaboration and Computational Thinking: A classroom structure,1
Computers & Education,Collaborative Approaches for Effective and Sustainable Integration of Computational Thinking Educational Strategies,1
Computers & Education,Comparing computational thinking skills of engineering students in urban and rural areas of Peru,1
Computers & Education,Computation and Computational Thinking,1
Computers & Education,Computational Notebooks in a Finite Element Analysis Course: Engineering Students' Reflections on the Value and Challenges of Computational Approaches,1
Computers & Education,Computational Politics and Economy for the Establishment of an Integrated Intelligent Government,1
Computers & Education,Computational Thinking Test for Beginners: Design and Content Validation,1
Computers & Education,"Computational Thinking Test for Lower Primary Students: Design Principles, Content Validation, and Pilot Testing",1
Computers & Education,Computational Thinking Work System Method: A problem-solving method for small and medium enterprises,1
Computers & Education,Computational Thinking in Elementary and Secondary Teacher Education,1
Computers & Education,"Computational Thinking in the Danish High School: Learning Coding, Modeling, and Content Knowledge with NetLogo",1
Computers & Education,Computational Thinking on Mathematical Problem-Solving: Bibliometric Theme and Aspect,1
Computers & Education,Computational Thinking: Learning by Doing with the Cinco Adventure Game Tool,1
Computers & Education,Computational thinking and computer fundamental education,1
Computers & Education,Computational thinking and practice: a generic approach to computing in Danish high schools,1
Computers & Education,Computational thinking as springboard for learning object-oriented programming in an interactive MOOC,1
Computers & Education,Computational thinking for professionals,1
