Format,Title,Collections,Subjects,ISBN,Online ISBN/EISSN,DOI, Results Count,Abstract Random English,afiliacion_primer_autor,journal
Journal,American Journal of Epidemiologysignificance,Journals,Public Health and Epidemiology,0002-9262,1476-6256,https://academic.oup.com/aje,612.0,Research focused on scientific advances and their global impact.,Yale University,Science Advances
Journal,American Journal of Health-System Pharmacysignificance,Journals,Pharmacology,1079-2082,1535-2900,https://academic.oup.com/ajhp,935.0,Exploration of the relationship between social media and mental health.,Harvard University,IEEE Transactions on Software Engineering
Journal,American Journal of Hypertensionsignificance,Journals,"Biological Sciences, Cardiovascular Medicine",,1941-7225,https://academic.oup.com/ajh,52.0,Study on the influence of artificial intelligence in the economy.,Princeton University,Computers & Education
Journal,American Journal of Legal Historysignificance,Journals,"History of Law, Legal and Constitutional History",0002-9319,2161-797X,https://academic.oup.com/ajlh,54.0,Case study on the use of renewable energy in rural communities.,University of Melbourne,IEEE Transactions on Software Engineering
Journal,American Law and Economics Reviewsignificance,Journals,"Economics, Law",1465-7252,1465-7260,https://academic.oup.com/aler,75.0,This study explores the complex interactions between technology and society.,University of Hong Kong,IEEE Transactions on Software Engineering
Journal,American Literary Historysignificance,Journals,Literary Studies (American),0896-7148,1468-4365,https://academic.oup.com/alh,153.0,Study on the influence of artificial intelligence in the economy.,Peking University,IEEE Transactions on Software Engineering
Journal,Analysissignificance,Journals,Philosophy,0003-2638,1467-8284,https://academic.oup.com/analysis,264.0,Research focused on scientific advances and their global impact.,University of Chicago,IEEE Transactions on Software Engineering
Journal,Animal Frontierssignificance,"ASAS Journals, Journals",Biological Sciences,2160-6056,2160-6064,https://academic.oup.com/af,26.0,Study on the influence of artificial intelligence in the economy.,University of Hong Kong,Journal of Computer Science
Journal,Annals of Behavioral Medicinesignificance,"Journals, SBM Journals","Health Psychology, Medicine and Health",0883-6612,1532-4796,https://academic.oup.com/abm,502.0,Assessment of the role of digital communication in contemporary politics.,National University of Singapore,Computers & Education
Journal,Annals of Botanysignificance,Journals,"Ecology and Conservation, Evolutionary Biology, Plant Sciences and Forestry",0305-7364,1095-8290,https://academic.oup.com/aob,151.0,Research focused on scientific advances and their global impact.,University of Cambridge,Nature Communications
Journal,Annals of Oncologysignificance,,Medical Oncology,0923-7534,1569-8041,https://academic.oup.com/annonc,196.0,This study explores the complex interactions between technology and society.,University of Toronto,PLOS ONE
Journal,Annals of the Entomological Society of Americasignificance,"ESA Publications, Journals",Entomology,0013-8746,1938-2901,https://academic.oup.com/aesa,66.0,A critical examination of environmental policies and their effectiveness.,Princeton University,Science Advances
Journal,Annals of Work Exposures and Healthsignificance,Journals,Occupational Medicine,2398-7308,2398-7316,https://academic.oup.com/annweh,139.0,Exploration of the relationship between social media and mental health.,University of Chicago,Journal of Machine Learning Research
Journal,Antibody Therapeuticssignificance,Journals,"Health Psychology, Medicinal Chemistry, Medicine and Health, Proteins",,2516-4236,https://academic.oup.com/abt,3.0,Study on the influence of artificial intelligence in the economy.,Stanford University,PLOS ONE
Journal,AoB PLANTSsignificance,Journals,Plant Sciences and Forestry,,2041-2851,https://academic.oup.com/aobpla,34.0,Analysis of the evolution of cybersecurity strategies.,Yale University,Science Advances
Journal,Applied Economic Perspectives and Policysignificance2040-5790,2040-5804,https://academic.oup.com/aepp,93,,,,A critical examination of environmental policies and their effectiveness.,University of Toronto,Science Advances
Journal,Applied Linguisticssignificance,Journals,Applied Linguistics,0142-6001,1477-450X,https://academic.oup.com/applij,424.0,A detailed analysis of emerging trends in modern education.,University of Sydney,IEEE Transactions on Software Engineering
Journal,Applied Mathematics Research eXpresssignificance,,Applied Mathematics,1687-1200,1687-1197,https://academic.oup.com/amrx,19.0,Research focused on scientific advances and their global impact.,MIT,Journal of Machine Learning Research
Journal,Arbitration Internationalsignificance,Journals,Arbitration,0957-0411,1875-8398,https://academic.oup.com/arbitration,64.0,Analysis of the evolution of cybersecurity strategies.,University of Chicago,Journal of Computer Science
Journal,Archives of Clinical Neuropsychologysignificance,Journals,"Neuropsychology, Neuroscience",,1873-5843,https://academic.oup.com/acn,302.0,This study explores the complex interactions between technology and society.,University of Melbourne,ACM Transactions on Graphics
Journal,Aristotelian Society Supplementary Volumesignificance,,Philosophy,0309-7013,1467-8349,https://academic.oup.com/aristoteliansupp,110.0,A detailed analysis of emerging trends in modern education.,University of Tokyo,Science Advances
Journal,Art Historysignificance,Journals,"Art, Arts and Humanities, History of Art, Neuroscience",0141-6790,1467-8365,https://academic.oup.com/arthistory,91.0,A critical examination of environmental policies and their effectiveness.,Harvard University,PLOS ONE
Journal,Arthropod Management Testssignificance,,Entomology,,2155-9856,https://academic.oup.com/amt,1.0,Assessment of the role of digital communication in contemporary politics.,Peking University,IEEE Transactions on Software Engineering
Journal,Astronomy & Geophysicssignificance,"Journals, RAS Journals",Science and Mathematics,1366-8781,1468-4004,https://academic.oup.com/astrogeo,307.0,A review of innovative methods in science teaching.,Princeton University,Journal of Computer Science
Journal,Behavioral Ecologysignificance,Journals,Animal Behaviour and Behavioural Ecology,,1465-7279,https://academic.oup.com/beheco,190.0,This study explores the complex interactions between technology and society.,University of Melbourne,PLOS ONE
Journal,Bioinformaticssignificance,"Bioinformatics Journals, Journals",Bioinformatics and Computational Biology,,1367-4811,https://academic.oup.com/bioinformatics,892.0,Analysis of the evolution of cybersecurity strategies.,Princeton University,ACM Transactions on Graphics
Journal,Bioinformatics Advancessignificance,"Bioinformatics Journals, Journals",Bioinformatics and Computational Biology,,2635-0041,https://academic.oup.com/bioinformaticsadvances,24.0,A review of innovative methods in science teaching.,Yale University,Computers & Education
Journal,Biological Journal of the Linnean Societysignificance,"Journals, Linnean Society Family",Biological Sciences,0024-4066,1095-8312,https://academic.oup.com/biolinnean,215.0,A detailed analysis of emerging trends in modern education.,National University of Singapore,Journal of Computer Science
Journal,Biology Methods and Protocolssignificance,Journals,Biological Sciences,,2396-8923,https://academic.oup.com/biomethods,13.0,Assessment of the role of digital communication in contemporary politics.,University of Chicago,PLOS ONE
Journal,Biology of Reproductionsignificance,Journals,"Developmental Biology, Reproduction, Growth and Development",0006-3363,1529-7268,https://academic.oup.com/biolreprod,65.0,Research focused on scientific advances and their global impact.,Columbia University,Computers & Education
Journal,Biometricssignificance,Journals,"Biological Sciences, Biomathematics and Statistics, Mathematics, Science and Mathematics",0006-341X,1541-0420,https://academic.oup.com/biometrics,380.0,Exploration of the relationship between social media and mental health.,University of Chicago,Nature Communications
Journal,Biometrikasignificance,Journals,Probability and Statistics,,1464-3510,https://academic.oup.com/biomet,459.0,This study explores the complex interactions between technology and society.,Columbia University,Computers & Education
Journal,BioSciencesignificance,Journals,"Environment, Science and Mathematics",,1525-3244,https://academic.oup.com/bioscience,872.0,Study on the influence of artificial intelligence in the economy.,University of Toronto,Journal of Machine Learning Research
Journal,Bioscience Horizons: The International Journal of Student Researchsignificance,,Biological Sciences,,1754-7431,https://academic.oup.com/biohorizons,7.0,Analysis of the evolution of cybersecurity strategies.,National University of Singapore,PLOS ONE
Journal,"Bioscience, Biotechnology, and Biochemistrysignificance",Journals,Science and Mathematics,0916-8451,1347-6947,https://academic.oup.com/bbb,34.0,This study explores the complex interactions between technology and society.,University of Tokyo,Science Advances
Journal,Biostatisticssignificance,Journals,Biomathematics and Statistics,1465-4644,1468-4357,https://academic.oup.com/biostatistics,110.0,Case study on the use of renewable energy in rural communities.,Yale University,Journal of Computer Science
Journal,BJA Educationsignificance,Journals,Anaesthetics,2058-5349,2058-5357,https://academic.oup.com/bjaed,8.0,Study on the influence of artificial intelligence in the economy.,University of Melbourne,Journal of Computer Science
Journal,BJA: British Journal of Anaesthesiasignificance,Journals,Anaesthetics,0007-0912,1471-6771,https://academic.oup.com/bja,372.0,Case study on the use of renewable energy in rural communities.,ETH Zurich,Computers & Education
Journal,BJR|Artificial Intelligencesignificance,Journals,"Neuroscience, Radiology, Reproductive Medicine",,2976-8705,https://academic.oup.com/bjrai,1.0,Assessment of the role of digital communication in contemporary politics.,Princeton University,ACM Transactions on Graphics
Journal,BJR|Case Reportssignificance,Journals,"Neuroscience, Radiology, Reproductive Medicine",,2055-7159,https://academic.oup.com/bjrcr,4.0,A detailed analysis of emerging trends in modern education.,Imperial College London,Computers & Education
Journal,BJR|Opensignificance,Journals,"Neuroscience, Radiology, Reproductive Medicine",,2513-9878,https://academic.oup.com/bjro,10.0,Study on the influence of artificial intelligence in the economy.,MIT,Science Advances
Journal,BJS Opensignificance,"BJS Foundation Journals, Journals",Surgery,,2474-9842,https://academic.oup.com/bjsopen,13.0,Assessment of the role of digital communication in contemporary politics.,University of Sydney,Nature Communications
Journal,Botanical Journal of the Linnean Societysignificance,"Journals, Linnean Society Family","Botany, Plant Sciences and Forestry",0024-4074,1095-8339,https://academic.oup.com/botlinnean,60.0,Study on the influence of artificial intelligence in the economy.,University of Tokyo,ACM Transactions on Graphics
Journal,Brainsignificance,"Brain Journals, Journals","Neurology, Neuroscience",0006-8950,1460-2156,https://academic.oup.com/brain,720.0,Exploration of the relationship between social media and mental health.,ETH Zurich,IEEE Transactions on Software Engineering
Journal,Brain Communicationssignificance,"Brain Journals, Journals","Neurology, Neuroscience",,2632-1297,https://academic.oup.com/braincomms,96.0,Assessment of the role of digital communication in contemporary politics.,California Institute of Technology,ACM Transactions on Graphics
Journal,Briefings in Bioinformaticssignificance,Journals,Bioinformatics and Computational Biology,,1477-4054,https://academic.oup.com/bib,334.0,Analysis of the evolution of cybersecurity strategies.,University of Cambridge,Computers & Education
Journal,Briefings in Functional Genomicssignificance,Journals,Genetics and Genomics,,2041-2657,https://academic.oup.com/bfg,63.0,A detailed analysis of emerging trends in modern education.,National University of Singapore,IEEE Transactions on Software Engineering
Journal,British Journal of Dermatologysignificance,Journals,"Clinical Medicine, Dermatology, Medicine and Health",0007-0963,1365-2133,https://academic.oup.com/bjd,172.0,A detailed analysis of emerging trends in modern education.,National University of Singapore,Computers & Education
Journal,British Journal of Radiologysignificance,"British Institute of Radiology Journals, Journals","Neuroscience, Radiology, Reproductive Medicine",0007-1285,1748-880X,https://academic.oup.com/bjr,692.0,Exploration of the relationship between social media and mental health.,University of Cambridge,ACM Transactions on Graphics
Journal,British Journal of Surgerysignificance,"BJS Foundation Journals, Journals",Surgery,,1365-2168,https://academic.oup.com/bjs,352.0,This study explores the complex interactions between technology and society.,Peking University,Nature Communications
Journal,British Medical Bulletinsignificance,Journals,Medicine and Health,0007-1420,1471-8391,https://academic.oup.com/bmb,99.0,A review of innovative methods in science teaching.,California Institute of Technology,Journal of Computer Science
Journal,British Yearbook of International Lawsignificance,Journals,International Law,0068-2691,2044-9437,https://academic.oup.com/bybil,41.0,Exploration of the relationship between social media and mental health.,National University of Singapore,Nature Communications
Journal,Bulletin of the Chemical Society of Japansignificance,Journals,"Biological Sciences, Chemistry, Science and Mathematics",,1348-0634,https://academic.oup.com/bcsj,72.0,Case study on the use of renewable energy in rural communities.,Tsinghua University,ACM Transactions on Graphics
Journal,Bulletin of the Institute of Classical Studiessignificance,Journals,"Ancient Greek History, Ancient Roman History, Classical Literature, Classical Reception, Greek and Roman Archaeology",0076-0730,2041-5370,https://academic.oup.com/bics,47.0,A critical examination of environmental policies and their effectiveness.,University of Cambridge,IEEE Transactions on Software Engineering
Journal,Bulletin of the London Mathematical Societysignificance,"Journals, LMS Journals",Mathematics,0024-6093,1469-2120,https://academic.oup.com/blms,736.0,Case study on the use of renewable energy in rural communities.,Stanford University,Computers & Education
Journal,Burns & Traumasignificance,Journals,Medicine and Health,,2321-3876,https://academic.oup.com/burnstrauma,6.0,Exploration of the relationship between social media and mental health.,University of Oxford,IEEE Transactions on Software Engineering
Journal,Cambridge Journal of Economicssignificance,"CPES Journals, Journals",Economics,0309-166X,1464-3545,https://academic.oup.com/cje,377.0,This study explores the complex interactions between technology and society.,University of Sydney,Journal of Computer Science
Journal,"Cambridge Journal of Regions, Economy and Societysignificance","CPES Journals, Journals","Economic Development and Growth, Economic Geography, Political Economy, Urban, Rural, and Regional Economics",1752-1378,1752-1386,https://academic.oup.com/cjres,109.0,Assessment of the role of digital communication in contemporary politics.,University of Melbourne,Nature Communications
Journal,Capital Markets Law Journalsignificance,Journals,"Capital Markets, Financial Law, Financial Regulation",1750-7219,1750-7227,https://academic.oup.com/cmlj,50.0,A critical examination of environmental policies and their effectiveness.,Harvard University,IEEE Transactions on Software Engineering
Journal,Carcinogenesissignificance,Journals,Clinical Cytogenetics and Molecular Genetics,0143-3334,1460-2180,https://academic.oup.com/carcin,51.0,Assessment of the role of digital communication in contemporary politics.,MIT,Journal of Computer Science
Journal,Cardiovascular Researchsignificance,"ESC Publications, Journals",Cardiovascular Medicine,0008-6363,1755-3245,https://academic.oup.com/cardiovascres,119.0,A critical examination of environmental policies and their effectiveness.,National University of Singapore,IEEE Transactions on Software Engineering
Journal,Cerebral Cortexsignificance,"Cerebral Cortex Journals, Journals","Clinical Neuroscience, Neurology, Neuroscience",,1460-2199,https://academic.oup.com/cercor,1063.0,Research focused on scientific advances and their global impact.,Imperial College London,Science Advances
Journal,Cerebral Cortex Communicationssignificance,"Cerebral Cortex Journals, Journals","Clinical Neuroscience, Neurology, Neuroscience",,2632-7376,https://academic.oup.com/cercorcomms,40.0,This study explores the complex interactions between technology and society.,University of Melbourne,Nature Communications
Journal,CESifo Economic Studiessignificance,Journals,Public Economics,1610-241X,1612-7501,https://academic.oup.com/cesifo,102.0,A detailed analysis of emerging trends in modern education.,Harvard University,Nature Communications
Journal,Chemical Sensessignificance,Journals,Molecular and Cell Biology,,1464-3553,https://academic.oup.com/chemse,112.0,Study on the influence of artificial intelligence in the economy.,University of Melbourne,Journal of Machine Learning Research
Journal,Chemistry Letterssignificance,Journals,"Biological Sciences, Chemistry, Science and Mathematics",,1348-0715,https://academic.oup.com/chemlett,17.0,This study explores the complex interactions between technology and society.,University of Melbourne,Nature Communications
Journal,Children & Schoolssignificance,"Journals, NASW Family",Schools Studies,1532-8759,1545-682X,https://academic.oup.com/cs,89.0,Case study on the use of renewable energy in rural communities.,University of Oxford,Nature Communications
Journal,Chinese Journal of International Lawsignificance,Journals,International Law,1540-1650,1746-9937,https://academic.oup.com/chinesejil,20.0,Study on the influence of artificial intelligence in the economy.,ETH Zurich,ACM Transactions on Graphics
Journal,Christian bioethics: Non-Ecumenical Studies in Medical Moralitysignificance,Journals,"Bioethics, Christianity, Religion and Science",1380-3603,1744-4195,https://academic.oup.com/cb,24.0,Study on the influence of artificial intelligence in the economy.,University of Oxford,Journal of Machine Learning Research
Journal,Classical Receptions Journalsignificance,Journals,Classical Reception,,1759-5142,https://academic.oup.com/crj,15.0,Study on the influence of artificial intelligence in the economy.,University of Toronto,IEEE Transactions on Software Engineering
Journal,Clean Energysignificance,Journals,Energy Technology,2515-4230,2515-396X,https://academic.oup.com/ce,19.0,A critical examination of environmental policies and their effectiveness.,MIT,ACM Transactions on Graphics
Journal,Clinical and Experimental Dermatologysignificance,Journals,"Clinical Medicine, Dermatology, Medicine and Health",,1365-2230,https://academic.oup.com/ced,36.0,Research focused on scientific advances and their global impact.,Harvard University,Journal of Machine Learning Research
Journal,Clinical and Experimental Immunologysignificance,Journals,"Clinical Medicine, Immunology, Medicine and Health, Pathology",,1365-2249,https://academic.oup.com/cei,25.0,Assessment of the role of digital communication in contemporary politics.,MIT,Nature Communications
Journal,Clinical Chemistrysignificance,"AACC Journals, Journals","Biochemistry, Medical Skills, Pathology, Research Methods in Life Sciences",0009-9147,1530-8561,https://academic.oup.com/clinchem,386.0,Research focused on scientific advances and their global impact.,University of Hong Kong,Nature Communications
Journal,Clinical Infectious Diseasessignificance,"IDSA Journals, Journals",Infectious Diseases,1058-4838,1537-6591,https://academic.oup.com/cid,242.0,A critical examination of environmental policies and their effectiveness.,University of Tokyo,Journal of Computer Science
Journal,Clinical Kidney Journalsignificance,"ERA-EDTA Journals, Journals",Nephrology,2048-8505,2048-8513,https://academic.oup.com/ckj,62.0,Case study on the use of renewable energy in rural communities.,Peking University,Computers & Education
Journal,Communication Theorysignificance,"ICA Journals, Journals",Communication Theory and Methodology,,1468-2885,https://academic.oup.com/ct,258.0,A detailed analysis of emerging trends in modern education.,ETH Zurich,Journal of Computer Science
Journal,"Communication, Culture and Critiquesignificance","ICA Journals, Journals","Communication and Cultural Studies, Media Studies",,1753-9137,https://academic.oup.com/ccc,150.0,This study explores the complex interactions between technology and society.,Columbia University,Journal of Computer Science
Journal,Community Development Journalsignificance,Journals,Social Sciences,0010-3802,1468-2656,https://academic.oup.com/cdj,106.0,A critical examination of environmental policies and their effectiveness.,University of Sydney,Nature Communications
Journal,Conservation Physiologysignificance,Journals,Environmental Science,,2051-1434,https://academic.oup.com/conphys,36.0,Research focused on scientific advances and their global impact.,University of Chicago,Science Advances
Journal,Contemporary Women's Writingsignificance,Journals,"Literary Studies (20th Century onwards), Literary Studies (Women's Writing)",,1754-1484,https://academic.oup.com/cww,45.0,A detailed analysis of emerging trends in modern education.,University of Cambridge,PLOS ONE
Journal,Contributions to Political Economysignificance,"CPES Journals, Journals",Political Economy,0277-5921,1464-3588,https://academic.oup.com/cpe,30.0,Case study on the use of renewable energy in rural communities.,University of Chicago,Computers & Education
Journal,Critical Valuessignificance,,Pathology,2378-8321,2378-8372,https://academic.oup.com/criticalvalues,24.0,A review of innovative methods in science teaching.,California Institute of Technology,Nature Communications
Journal,Crohn's & Colitis 360significance,"Crohn's & Colitis Foundation Journals, Journals","Clinical Medicine, Gastroenterology, Gastro-intestinal and Colorectal Surgery, Medicine and Health, Patient Education and Information",,2631-827X,https://academic.oup.com/crohnscolitis360,17.0,Study on the influence of artificial intelligence in the economy.,Imperial College London,ACM Transactions on Graphics
Journal,Current Legal Problemssignificance,Journals,"Jurisprudence and Philosophy of Law, Law",0070-1998,2044-8422,https://academic.oup.com/clp,94.0,Research focused on scientific advances and their global impact.,Yale University,Journal of Computer Science
Journal,Current Zoologysignificance,Journals,"Evolutionary Biology, Zoology and Animal Sciences",,2396-9814,https://academic.oup.com/cz,53.0,Case study on the use of renewable energy in rural communities.,University of Oxford,Science Advances
Journal,Databasesignificance,Journals,Biological Sciences,,1758-0463,https://academic.oup.com/database,89.0,Study on the influence of artificial intelligence in the economy.,University of Hong Kong,Journal of Machine Learning Research
Journal,Dentomaxillofacial Radiologysignificance,"British Institute of Radiology Journals, Journals","Biological Sciences, Medical Dentistry, Radiology",0250-832X,1476-542X,https://academic.oup.com/dmfr,93.0,Exploration of the relationship between social media and mental health.,Stanford University,IEEE Transactions on Software Engineering
Journal,Digital Scholarship in the Humanitiessignificance,Journals,Digital Humanities,2055-7671,2055-768X,https://academic.oup.com/dsh,800.0,A critical examination of environmental policies and their effectiveness.,Imperial College London,PLOS ONE
Journal,Diplomatic Historysignificance,Journals,"Diplomatic History, United States History",0145-2096,1467-7709,https://academic.oup.com/dh,88.0,This study explores the complex interactions between technology and society.,University of Toronto,Journal of Machine Learning Research
Journal,Diseases of the Esophagussignificance,Journals,"Clinical Medicine, Gastroenterology, Surgery",1120-8694,1442-2050,https://academic.oup.com/dote,63.0,Study on the influence of artificial intelligence in the economy.,University of Hong Kong,PLOS ONE
Journal,DNA Researchsignificance,Journals,"Genetics and Genomics, Molecular Biology and Genetics",,1756-1663,https://academic.oup.com/dnaresearch,30.0,Research focused on scientific advances and their global impact.,MIT,Computers & Education
Journal,Dynamics and Statistics of the Climate Systemsignificance,Journals,"Environmental Science, Probability and Statistics",,2059-6987,https://academic.oup.com/climatesystem,6.0,This study explores the complex interactions between technology and society.,University of Oxford,ACM Transactions on Graphics
Journal,Early Musicsignificance,Journals,Pre- and Early Medieval Music (Before 800),0306-1078,1741-7260,https://academic.oup.com/em,97.0,Case study on the use of renewable energy in rural communities.,University of Melbourne,PLOS ONE
Journal,Economic Policysignificance,Journals,Economics,0266-4658,1468-0327,https://academic.oup.com/economicpolicy,299.0,Research focused on scientific advances and their global impact.,University of Oxford,Nature Communications
Journal,ELT Journalsignificance,Journals,Language Teaching and Learning,0951-0893,1477-4526,https://academic.oup.com/eltj,375.0,Case study on the use of renewable energy in rural communities.,University of Sydney,Nature Communications
Journal,Endocrine Reviewssignificance,"Endocrine Society Journals, Journals","Clinical Medicine, Endocrinology and Diabetes, Medicine and Health",0163-769X,1945-7189,https://academic.oup.com/edrv,65.0,This study explores the complex interactions between technology and society.,University of Cambridge,PLOS ONE
Journal,Endocrinologysignificance,"Endocrine Society Journals, Journals","Clinical Medicine, Endocrinology and Diabetes, Medicine and Health",0013-7227,1945-7170,https://academic.oup.com/endo,120.0,Assessment of the role of digital communication in contemporary politics.,University of Sydney,Computers & Education
Journal,English: Journal of the English Associationsignificance,"English Association Journals, Journals",Literature,0013-8215,1756-1124,https://academic.oup.com/english,45.0,Case study on the use of renewable energy in rural communities.,Peking University,PLOS ONE
Journal,Environmental Entomologysignificance,"ESA Publications, Journals",Entomology,0046-225X,1938-2936,https://academic.oup.com/ee,64.0,Assessment of the role of digital communication in contemporary politics.,University of Tokyo,Journal of Machine Learning Research
Journal,Environmental Epigeneticssignificance,Journals,Epigenetics,,2058-5888,https://academic.oup.com/eep,5.0,Assessment of the role of digital communication in contemporary politics.,Tsinghua University,ACM Transactions on Graphics
Journal,Environmental Historysignificance,,Environmental History,1084-5453,1930-8892,https://academic.oup.com/envhis,61.0,This study explores the complex interactions between technology and society.,National University of Singapore,Nature Communications
Journal,EP Europacesignificance,"ESC Publications, Journals",Cardiovascular Medicine,1099-5129,1532-2092,https://academic.oup.com/europace,84.0,A detailed analysis of emerging trends in modern education.,National University of Singapore,ACM Transactions on Graphics
Journal,Epidemiologic Reviewssignificance,Journals,Public Health and Epidemiology,,1478-6729,https://academic.oup.com/epirev,43.0,A detailed analysis of emerging trends in modern education.,Princeton University,Nature Communications
Journal,ESHRE Monographssignificance,Journals,Reproductive Medicine,1477-741X,1477-8378,https://academic.oup.com/eshremonographs,2.0,A review of innovative methods in science teaching.,Harvard University,Science Advances
Journal,Essays in Criticismsignificance,Journals,Literary Studies (British and Irish),0014-0856,1471-6852,https://academic.oup.com/eic,42.0,A detailed analysis of emerging trends in modern education.,University of Tokyo,Nature Communications
Journal,European Heart Journalsignificance,"ESC Publications, Journals",Cardiovascular Medicine,0195-668X,1522-9645,https://academic.oup.com/eurheartj,376.0,Case study on the use of renewable energy in rural communities.,National University of Singapore,Journal of Computer Science
Journal,European Heart Journal - Cardiovascular Imagingsignificance,"ESC Publications, Journals",Cardiovascular Medicine,2047-2404,2047-2412,https://academic.oup.com/ehjcimaging,192.0,Analysis of the evolution of cybersecurity strategies.,University of Tokyo,Nature Communications
Journal,European Heart Journal - Cardiovascular Pharmacotherapysignificance,"ESC Publications, Journals","Cardiovascular Medicine, Pharmacology",,2055-6845,https://academic.oup.com/ehjcvp,4.0,A critical examination of environmental policies and their effectiveness.,National University of Singapore,Nature Communications
Journal,European Heart Journal - Case Reportssignificance,"ESC Publications, Journals",Cardiovascular Medicine,,2514-2119,https://academic.oup.com/ehjcr,35.0,Analysis of the evolution of cybersecurity strategies.,Princeton University,Nature Communications
Journal,European Heart Journal - Digital Healthsignificance,"ESC Publications, Journals",Cardiovascular Medicine,,2634-3916,https://academic.oup.com/ehjdh,27.0,Research focused on scientific advances and their global impact.,Columbia University,IEEE Transactions on Software Engineering
Journal,European Heart Journal - Imaging Methods and Practicesignificance,"ESC Publications, Journals","Cardiovascular Medicine, Clinical Medicine, Medicine and Health, Radiology",,2755-9637,https://academic.oup.com/ehjimp,3.0,Assessment of the role of digital communication in contemporary politics.,Imperial College London,Science Advances
Journal,European Heart Journal - Quality of Care and Clinical Outcomessignificance,"ESC Publications, Journals",Cardiovascular Medicine,2058-5225,2058-1742,https://academic.oup.com/ehjqcco,8.0,Case study on the use of renewable energy in rural communities.,University of Chicago,Nature Communications
Journal,European Heart Journal Opensignificance,"ESC Publications, Journals",Cardiovascular Medicine,,2752-4191,https://academic.oup.com/ehjopen,6.0,Analysis of the evolution of cybersecurity strategies.,Imperial College London,Journal of Machine Learning Research
Journal,European Heart Journal Supplementssignificance,"ESC Publications, Journals",Cardiovascular Medicine,1520-765X,1554-2815,https://academic.oup.com/eurheartjsupp,30.0,Study on the influence of artificial intelligence in the economy.,California Institute of Technology,Nature Communications
Journal,European Heart Journal. Acute Cardiovascular Caresignificance,"ESC Publications, Journals","Acute Medicine, Cardiovascular Medicine, Critical Care",,2048-8734,https://academic.oup.com/ehjacc,16.0,Exploration of the relationship between social media and mental health.,University of Chicago,Journal of Machine Learning Research
Journal,European Journal of Cardio-Thoracic Surgerysignificance,,Cardiothoracic Surgery,,1873-734X,https://academic.oup.com/ejcts,1014.0,Exploration of the relationship between social media and mental health.,Princeton University,Nature Communications
Journal,European Journal of Cardiovascular Nursingsignificance,"ESC Publications, Journals","Allied Health Professions, Cardiovascular Medicine, Nursing, Nursing Studies",1474-5151,1873-1953,https://academic.oup.com/eurjcn,117.0,Analysis of the evolution of cybersecurity strategies.,University of Melbourne,Journal of Machine Learning Research
Journal,European Journal of Endocrinologysignificance,Journals,"Clinical Medicine, Endocrinology and Diabetes, Medicine and Health",0804-4643,1479-683X,https://academic.oup.com/ejendo,126.0,A review of innovative methods in science teaching.,University of Sydney,Journal of Machine Learning Research
Journal,European Journal of International Lawsignificance,Journals,Public International Law,0938-5428,1464-3596,https://academic.oup.com/ejil,94.0,Study on the influence of artificial intelligence in the economy.,University of Toronto,ACM Transactions on Graphics
