Authors,Title,Year,ISBN,Publisher,Address,URL,DOI,Abstract,Document Type,afiliacion_primer_autor,journal
"Simmonds, Jocelyn and Diaz, Constanza and Estay, Carlos",Introducing Computational Thinking at Vocational High Schools,2023,9798400701382.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3587102.3588818,10.1145/3587102.3588818,"The Technovation Girls program (TG) is an after-school program, where teams of female school students follow a software ideation process to address one of the UN's Sustainable Development goals. Concretely, they prototype a mobile application which they later pitch to judges. The TG curriculum gives students the tools they need to carry out this challenge, with activities focusing on entrepreneurship, product ideation and pitching, as well as coding. Previous evaluations of this program have focused on student and mentor perceptions and attitudes, collected through surveys, observation, focus groups and interviews. In this paper, we evaluate the effect that the coding part of the TG curriculum has on students' computational thinking skills, specifically in Chile, where the TG curriculum was expanded to a year to account for differences in the school curriculum. Also, in this experience, the TG program was carried out during class hours, and at both single- and mixed-gender vocational high schools. We applied an existing computational thinking test to the 2020 cohort (approx. 1000 students), before and after participating in the program, analyzing the results by school, gender and age. We found a slight improvement in test scores, with a more positive effect in male students.",Case Study,Peking University,Nature Communications
"Benavides-Escola, Christian Andr\'{e}s and Mart\'{\i}n-Barroso, Estefan\'{\i}a and Zapata-C\'{a}ceres, Mar\'{\i}a and Rom\'{a}n-Gonz\'{a}lez, Marcos",Improvement of Computational Thinking skills through unplugged activities in Upper Secondary Education,2024,9798400710056.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3677619.3678110,10.1145/3677619.3678110,"The adoption of Computational Thinking (CT) in the educational worldwide curricula is progressively gaining importance from various perspectives. One particular approach, known as unplugged, does not require electronic devices and offers notable benefits as it is replicable and adaptable. Moreover, it serves to dismantle the misconception that computer science is exclusively confined to the digital realm. While both plugged and unplugged methodologies are recognized, further exploration of the unplugged approach is required, especially in Upper Secondary Education, where there is less evidence of its effectiveness. This paper presents a summary of a quasi-experimental study conducted with 11th grade students (approximately 16 years old) in a Spanish public high school. 57 students participated: 28 in the control group and 29 in the experimental group. The conducted research, based on a quantitative and experimental design, aimed to investigate the effectiveness of unplugged activities to improve CT abilities in Upper Secondary Education. The results indicated improved skills in the experimental group, suggesting the potential efficacy of unplugged methods in fostering CT abilities.",Editorial,University of Oxford,PLOS ONE
"Benkarroum, Younes and Azhar, Mohammad Q.",Infusing Computational Thinking into a Computer Science Gateway Course,2024,,Consortium for Computing Sciences in Colleges,"Evansville, IN, USA",,,"Computational thinking (CT) stands as a universal problem-solving approach applicable across diverse disciplines, transcending the domain of computer science. It embodies the mental process of structuring a problem to enable a computational solution feasible for both humans and machines. This methodology involves dissecting problems into smaller parts that are easier to understand and solve. This study delineates a meticulously designed series of CT activities within an introductory computer science course and explores their profound impact on student engagement and problem-solving proficiency. Our findings underscore the pivotal role of hands-on CT practice in augmenting students' ability to decompose problems, recognize patterns, and abstract complexities, and employ algorithms effectively. Notably, this infusion of CT not only cultivates theoretical understanding but also bridges the gap between conceptual knowledge and real-world application through the use of computational tools like Python programming. As CT continues to emerge as a cornerstone skill in diverse domains, this research presents compelling evidence advocating for its integration into introductory courses, laying a robust foundation for students to navigate the evolving technological landscape with enhanced problem-solving capabilities.",Conference Proceedings,Harvard University,Computers & Education
"Munasinghe, Bhagya and Bell, Tim and Robins, Anthony",Computational Thinking and Notional Machines: The Missing Link,2023,,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3627829,10.1145/3627829,"In learning to program and understanding how a programming language controls a computer, learners develop both insights and misconceptions whilst their mental models are gradually refined. It is important that the learner is able to distinguish the different elements and roles of a computer (compiler, interpreter, memory, etc.), which novice programmers may find difficult to comprehend. Forming accurate mental models is one of the potential sources of difficulty inextricably linked to mastering computing concepts and processes, and for learning computer programming.It is common to use some form of representation (e.g., an abstract machine or a Computational Agent (CA)) to support technical or pedagogic explanations. The Notional Machine (NM) is a pedagogical device that entails one or more computational concepts, originally described as an idealised computer operating with the constructs of a particular programming language. It can be used to support specific or general learning goals and will typically have some concrete representation that can be referred to. Computational Thinking (CT), which is defined as a way of thinking that is used for [computational] problem solving, is often presented as using a CA to carry out information processing presented by a solution.In CT, where the typical goal is to produce an algorithm or a computer program, the CA seemingly serves a purpose very similar to an NM. Although it changes through the different stages of development (of the learner and of the curriculum), the roles of CAs and NMs can be seen as versatile tools that connect a learner’s mental model with the conceptual model of a program. In this article, we look at this relationship between CAs and NMs, and indicate how they would look at different stages of learning. We traverse the range of definitions and usages of these concepts, and articulate models that clarify how these are viewed in the literature. This includes exploring the nature of machines and agents, and how historical views of these relate to modern pedagogy for computation. We argue that the CA can be seen as an abstract, simplified variant of an NM that provides a useful perspective to the learner to support them to form robust mental models of NMs more efficiently and effectively. We propose that teaching programming should make use of the idea of a CA at different stages of learning, as a link that connects a learner’s mental model to a full NM.",Review Paper,National University of Singapore,Science Advances
"Simmonds, Jocelyn and Hitschfeld-Kahler, Nancy and Scheihing, Eliana and Henriquez, Valeria and Munoz, Valentin and Casanova, Cecilia and Torrent, Catalina and Contreras, Paulo and Mercado, Karen and Estrada, Daniel and Marquez, Lucia",Designing Project-based learning experiences to integrate Computational Thinking skills at Teacher Colleges,2024,9798400710056.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3677619.3678133,10.1145/3677619.3678133,"We describe our experience introducing computational thinking skills at teacher colleges through project-based learning (PBL). We have designed projects that use technology to tackle driving questions derived from the national school curriculum, and at the same time are aligned with learning objectives from pre-service teacher training programs. We have carried out a preliminary validation of these projects with teacher educators, who are now incorporating these experiences into their courses with pre-service teachers.",Short Communication,Peking University,IEEE Transactions on Software Engineering
"Dunbar, Kyle M. and Coenraad, Merijke and Iwatani, Emi",Appalachian Ingenuity and the Need for Rurally Sustaining Computational Thinking Pathways,2024,9798400706264.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3653666.3656073,10.1145/3653666.3656073,"Our research-practice partnership with two school districts in Eastern Kentucky has created a rurally sustaining computational thinking (CT) pathway. In this paper we share our project's operational understanding of the concept of rural sustainability in the context of CT pathways. We posit that an effective CT pathway for rural communities must be firmly rooted in their cultural wealth, funds of knowledge, and socioeconomic priorities. Moreover, it should empower students to draw upon their own innovation heritage, leveraging CT as a tool to identify and address community challenges. Emphasizing the necessity of incorporating rural contexts into discussions on equitable access to computing education, our conceptualization provides insights into how policy and research can contribute to this important goal.",Research Article,National University of Singapore,PLOS ONE
"Wei, Wei and Ha, Jesse and Gomez, Kimberley and Ghosh, Anuradha",Computational Thinking in STEM Teaching: Preservice Teachers' Conceptualizations and Practices,2024,9798400704246.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3626253.3635586,10.1145/3626253.3635586,"Within a two-year urban teacher residency program at [University], which focuses on training high school teachers to incorporate computational thinking (CT) into STEM education with an emphasis on equity, this study delves into how these preservice teaching residents (TRs) understood and applied CT in high school STEM settings. Based on our initial thematic content analysis of ten 30-minute artifact-based interviews, teachers' understanding and application of CT could be categorized in two ways: 1) One group of teachers showcased clear, explicit knowledge of CT and actively incorporated it into their instruction; 2) Another group, despite their evident understanding of CT, subtly and implicitly integrated CT into their teaching methods. Our findings suggest that while TRs may differ in whether they explicitly or implicitly integrated CT into their lesson plans, their comments suggest that they have foundational understandings and hold values that suggest they can build upon them. The TRs held definitional understandings of CT and had intentions to design and teach with CT integration, explicitly, or more commonly, implicitly. All of the TRs recognized opportunities in their lesson plans for teaching CT to students, which suggests the potential for more explicit integration in the future. These insights guide our subsequent efforts in teacher training, ensuring educators are equipped to weave CT into STEM lessons. Our findings contribute to a growing body of work that seeks to build strong preservice teaching practices, as they learn to translate CT knowledge into effective teaching practices while working towards higher levels of CT integration.",Technical Report,University of Sydney,Science Advances
"Barricelli, Barbara Rita and Fogli, Daniela and Gargioni, Luigi and Locoro, Angela and Valtolina, Stefano",Towards the Unification of Computational Thinking and EUDability: Two Cases from Healthcare,2024,9798400717642.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3656650.3656671,10.1145/3656650.3656671,"This paper presents a study about the mapping of the EUDability of End-User Development (EUD) tools with the Computational Thinking (CT) skills of users. This mapping provides an approach to evaluate the suitability of a EUD environment in supporting people performing their daily work while managing and exploiting EUD tools. EUDability is a construct encompassing different dimensions that need to be assessed through a careful scrutiny by human-computer interaction experts, while CT skills should mirror those dimensions from the point of view of assessing the level of ability of users in managing problems with a computational thinking attitude. Moving from the healthcare domain, we present two cases: a tool for geriatric professionals supporting them in the preparation of cognitive exercises for elderly patients; and a tool for pharmacists, which empowers them to create robot programs related to the preparation of personalized medications. These cases have been exploited to show how to unify the EUDability assessment with the CT skills assessment. In particular, the application of the EUDability evaluation method for each tool, as well as the administration of the Computational Thinking Scale to domain experts are shown. The results of the two assessments are reported and discussed, together with the limitations of the present study. The results show the goodness of fit of the proposed EUD tools in the healthcare domain.",Case Study,Columbia University,Journal of Machine Learning Research
"Magda, David and Gardner-McCune, Christina and Jimenez, Yerika and Chu, Sharon and Kulkarni, Abhishek",The Integration of Computational Thinking and Making in the Classroom,2024,9798400704239.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3626252.3630948,10.1145/3626252.3630948,"Maker-based learning and Computational Thinking (CT) have increased in popularity in formal educational settings over the past decade. Particularly, the combination of CT and making seem to hold promise for providing opportunities for students to learn and use computing concepts outside of computing courses. This paper presents findings from a two year study of the integration of computational making into 5th and 6th grade science classrooms. Students participated in computational making interventions in which they programmed Arduino microcontrollers to create scientific models of concepts that aimed to help them engage with the science content while learning CT and making skills. In this paper, we explore the differences between the desired computing learning progressions, students' performance on assessments, and perceptions of computer science to answer: To what extent are middle school students able to learn computing through computing integrated science curriculum? We observed that the programming concepts taught were largely dependent on the needs of the science and making project. Our findings suggest that while students had opportunities to learn and use programming concepts, their performance on assessments was between 15\% and 78\% correct for conceptual and applied questions and their programming self-efficacy and their perceptions of computer science were lower than desired. We discuss the implications of these findings and the factors that impact the integration of CT in core disciplines and the challenges this presents as we aim to use integration approaches to effectively teach computing outside of computing courses and to broaden participation in computing.",Conference Proceedings,University of Hong Kong,Computers & Education
"Sherwood, Heather and Kaiser, Alice and Ferguson, Camille and Negron, Anthony and Ferrer, Ray and Labonte, Don",Supporting Teacher Understanding of Computational Thinking Integration into Early Elementary Curricula,2024,9798400704246.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3626253.3635540,10.1145/3626253.3635540,"The recent emphasis on computational thinking (CT) integration across disciplines in elementary education nationwide is important to ensure that students are well-equipped to meet the demands of the data-driven workforce. However, this requirement poses major challenges to early elementary teachers who are faced with little direction in terms of how best to implement and assess their young student's application of these new practices.This project engaged researchers, professional development (PD) providers, and K-2 teachers to develop and design a hybrid PD experience to support teachers in a process of learning about and identifying the use of CT skills and strategies in their students' work. The hybrid PD approach utilized a combination of instructional coaching, both face-to-face and through an online Community of Practice. Researchers used a mixed-methods design to measure teachers' change over time in their understanding of how to identify emergent computational thinking in their students' work process. Data collection methods included teacher focus groups and interviews, classroom observations, and teacher pre- and post-surveys.Preliminary findings showed an increase in teachers' understanding of CT and confidence in engaging their students in CT-integrated lessons. Teachers reported that the combination of in-person PD and online Community of Practice helped them prepare to bring CT into their classroom and cited placing more of a distinct focus on teaching students the process of CT rather than just using CT vocabulary. Teachers also referenced success in evaluating their students' application of CT skills and concepts by using informal and formative assessment strategies that focus on evidence of student understanding rather than assessing CT vocabulary.",Case Study,National University of Singapore,ACM Transactions on Graphics
"Yu, Junnan and Hayden, Ronni and Roque, Ricarose",Exploring Computational Thinking with Physical Play through Design,2023,9798400701313.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3585088.3589365,10.1145/3585088.3589365,"Physical play has often been leveraged to provide children with active and engaging learning experiences. However, coding activities are predominantly sedentary in front of the screen, and the application of physical play in Computer Science education is less explored, e.g., how can we engage in computational thinking (CT) through physical play? In this design-based exploration, we conducted three design activities where young children, college students, and researchers were invited to create physical play projects using the BBC micro:bit and reflect on their experiences. By examining participants’ projects and creating processes, we provide empirical evidence that remixing physical play activities with coding can engage learners in various CT concepts and practices, reveal how CT concepts and practices can be represented in physical play, and highlight implications for designing physical play-mediated computational learning experiences. Ultimately, we encourage more learning experiences to incorporate physical play into computing education for children.",Technical Report,Tsinghua University,PLOS ONE
"Meyer-Baron, Larissa and Stieger, Ramona and Waldvogel, Bettina and Schumann, Nicole and Ruedisueli, Cornelia and Mayr, Franziska",Observing Computational Thinking Skills of Kindergarten Children,2022,9781450398534.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3556787.3556867,10.1145/3556787.3556867,"Computational Thinking skills along with reading, writing, and calculating skills are basic skills for children’s future. Computational Thinking has much in common with problem-solving and creative thinking in general. With regard to Karl Popper ""all life is problem-solving"" [26], this contribution focuses on the common features of problem-solving and unplugged Computational Thinking, by using a special set of Computational Thinking tasks (INGA-Box). Choosing a mix of deductive and inductive approach, a classification scheme for observing the development of Computational Thinking in kindergarten was developed and evaluated with first datasets.",Short Communication,Princeton University,IEEE Transactions on Software Engineering
"Moreno-Le\'{o}n, Jesus and Vasco-Gonz\'{a}lez, Margarita and Rom\'{a}n-Gonz\'{a}lez, Marcos and Robles, Gregorio",Investigating the Impact of Programming Activities on Computational Thinking and AI Literacy in Spanish Schools,2024,9798400710056.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3677619.3678111,10.1145/3677619.3678111,"This article presents research conducted within the School of Computational Thinking and Artificial Intelligence (EPCIA in its original form in Spanish) project, an initiative developed by the Spanish Ministry of Education and Vocational Training during the 2020-21 academic year. The study investigated whether it is possible to contribute to the development of students’ computational thinking skills and artificial intelligence (AI) literacy through programming activities using the Scratch language and the Machine Learning for Kids platform. The study involved 133 teachers and more than 2,000 students, from 4th to 8th grade, with representation from 17 of the 19 Spanish regions. Students took a quantitative test on computational thinking and another on AI before and after the intervention, and teachers and students also took a questionnaire at the end of it. The results showed that: i) quantitative tests can be used to reliably measure, in terms of internal consistency, the level of development of computational thinking and AI literacy in the Spanish school population of these ages; ii) it is possible to develop students’ computational thinking skills and raise their level of AI literacy through programming activities; iii) the intervention contributed to demystifying the main prejudices regarding AI; iv) a gender gap was found in relation to previous knowledge and experiences with these topics. Overall, the study concluded that introducing the foundations of AI in primary and secondary education in Spain is appropriate, feasible, and relevant.",Review Paper,MIT,Journal of Machine Learning Research
"Levitt, Diane and Garfus-Knowles, Dylana and Khuu, Wyman and Siddappa, Sara",Using Computational Thinking to Demystify Computer Science for Elementary Teachers,2024,9798400704246.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3626253.3631658,10.1145/3626253.3631658,"The computer science education research community has thought deeply about how students learn computational thinking (CT) as it relates to other domains of computer science (CS; e.g. programming) and core content areas (STEM, humanities), but less work has examined the role of CT in pathways to computer science for K-5 teachers. This panel examines the experiences of practitioners - educators, administrators, and curriculum designers--who have both experienced and supported others in incorporating CT in elementary school settings as a pathway to or component of computer science education. All panelists have worked with teachers not previously trained to teach CS and have encountered the many opportunities and difficulties of bringing CS to in-service teachers. They will reflect on the multiple ways educators grapple with CT: as an entry point to computer science, as a way to enrich core disciplines, and as a way to support equitable practice - for example, several of the panelists have experiences leveraging CT and other domains of CS to support the expression and development of emergent bilingual students. The panel will explore ways in which CT and its associated language and strategies for problem solving may provide a particularly helpful onramp to CS generally, including integration with other disciplines and with language about academic skills more generally.",Review Paper,Harvard University,Science Advances
"Yamaguchi, Ryoko and Eaton, Cyntrica",Designing for Equity in Education Via Computational Thinking: A Case Study,2024,9798400704239.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3626252.3630825,10.1145/3626252.3630825,"CADRE (Catalyst for Actively Designing and Researching Equity) is a Researcher-Practitioner Partnership (RPP) that empowers in-service K-12 educators to learn and leverage Computational Thinking (CT) to design for equity in their classrooms, schools, and districts. We cast equity gaps as bugs in education and focus on helping educators debug the system with CT-based tools, methods, and strategies such as user-centered design, system abstraction, and iteration. In this paper, we first describe how educators were taught CT and provide an example of how they applied these skills in practice. We then highlight the results of the qualitative case study of 34 educators where we found that CT helped CADRE participants gain a better understanding of the equity gaps their students faced and improve their instructional practices within their locus of control. Implications for future research are also discussed.",Technical Report,Columbia University,Science Advances
"Masiulionyte-Dagiene, Vaida",Modeling of the System for Computational Thinking Automatic Assessment,2023,9798400701399.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3587103.3594218,10.1145/3587103.3594218,"The aim of the doctoral thesis is to model an automated computational thinking (CT) assessment system based on solving processes of the interactive tasks. Currently, a literature review and analysis has been carried out, which has shown that among current CT assessment tools most popular ones still remain different types of tests. A study, comparing the two computational thinking assessment tests has been conducted and it has been observed that using only the tests causes data loss as tests do not collect information on the solution processes. An experiment was carried out to collect and analyze action information while solving the task and using this data to extract the possible different solution methods of an interactive task.",Review Paper,University of Melbourne,Science Advances
"Rangel, Alessandra and Coenraad, Merijke and Ruiz, Pati and Dunbar, Kyle and Milenkovic, Lisa and Arriola, Sheryl and Marousky, Annmargareth",Building Awareness of Computational Thinking Pathways across a Large School District,2024,9798400704246.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3626253.3635560,10.1145/3626253.3635560,"As states move to adopt computer science (CS) and computational thinking (CT) standards to prepare students for an increasingly technological world, school districts are integrating curriculum with CT skills and practices, building the capacity of their teachers and administrators through professional development, and increasing the knowledge infrastructure to support CT opportunities for students. One challenge that districts face when scaling new initiatives occurs when the work becomes siloed to one ''champion'' teacher or a singular motivated department. This poster presents Broward County Public Schools' use of an interactive infographic to build awareness of their CT initiative, including considerations for utilizing an infographic tool and the design decisions made to engage various stakeholders. The poster provides examples of methods to build knowledge of an emerging initiative and adds to the growing body of work in supporting districts as they scale their CS/CT initiatives.",Research Article,Tsinghua University,Science Advances
"Hu, Chiu-Fan and Wu, Cheng-Chih",A Computational Thinking Test for Senior High School Students,2023,9798400701399.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3587103.3594151,10.1145/3587103.3594151,"We have developed a quantitative tool for assessing senior high school students' computational thinking skills and administered it in the Taipei metropolitan area of Taiwan. Our CT test is language/tool/knowledge-independent and focuses on four key CT concepts: decomposition, data representation, algorithms, and pattern generalization. Our paper outlines the development process of the CT test, including its constructs, reliability, and validity, and discusses its educational implications for computing courses. This CT test provides a valuable resource for computing teachers who wish to assess their students' CT abilities and tailor their teaching methods accordingly.",Case Study,Columbia University,PLOS ONE
"Choi, Wan Chong and Chang, Chi In",The Students' Perspective on Computational Thinking through Flipped Classroom in K-12 Programming Course,2024,9798400717611.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3678726.3678729,10.1145/3678726.3678729,"Programming integration into K-12 curricula has become increasingly important in the rapidly evolving educational landscape. Recognizing the need to develop computational thinking among young learners, this study investigated the impact of the flipped classroom approach on computational thinking in K-12 programming courses in Macao, focusing on primary school students' experiences with block-based programmable hardware. Employing a mixed methods research design, it combined quantitative and qualitative analyses to examine how flipped classroom activities—centered around student engagement with material through e-books, videos, and interactive classroom tasks—affected students' understanding and application of computational concepts, practices, and perspectives. Quantitative data were collected using the Programming Computational Thinking Scale (PCTS), and qualitative insights were gathered through semi-structured interviews. The results indicated significant improvements in students' computational concepts and practices, attributed to the advantages of self-study and a stratified approach to task complexity. However, advancements in computational perspectives were less pronounced, highlighting the need for more opportunities for students to refine their presentation skills. The study concluded that the flipped classroom approach, especially with tools like mBlock and Codey-Rocky, effectively nurtured computational thinking in primary school programming courses. It underscored the importance of innovative teaching methods in enhancing students' ability to apply programming concepts in problem-solving and suggested areas for further improvement in educational practices.",Review Paper,University of Tokyo,Science Advances
