Authors,afiliacion_primer_autor,Cantidad
Author 189,Stanford University,1
Author 19,University of Cambridge,1
Author 190,University of Sydney,1
Author 191,University of Chicago,1
Author 192,Yale University,1
Author 193,Harvard University,1
Author 194,Stanford University,1
Author 195,University of Tokyo,1
Author 196,University of Oxford,1
Author 197,Columbia University,1
Author 198,National University of Singapore,1
Author 199,University of Melbourne,1
Author 2,University of Toronto,1
Author 20,University of Toronto,1
Author 200,California Institute of Technology,1
Author 201,Columbia University,1
Author 202,Peking University,1
Author 203,University of Oxford,1
Author 204,University of Hong Kong,1
Author 205,University of Tokyo,1
Author 206,Tsinghua University,1
Author 207,California Institute of Technology,1
Author 208,University of Hong Kong,1
Author 209,Harvard University,1
Author 21,Princeton University,1
Author 210,MIT,1
Author 211,University of Chicago,1
Author 212,Harvard University,1
Author 213,Harvard University,1
Author 214,Stanford University,1
Author 215,Imperial College London,1
Author 216,University of Toronto,1
Author 217,National University of Singapore,1
Author 218,Yale University,1
Author 219,Tsinghua University,1
Author 22,University of Chicago,1
Author 220,National University of Singapore,1
Author 221,Yale University,1
Author 222,University of Cambridge,1
Author 223,National University of Singapore,1
Author 224,University of Hong Kong,1
Author 225,Princeton University,1
Author 226,National University of Singapore,1
Author 227,National University of Singapore,1
Author 228,Harvard University,1
Author 229,National University of Singapore,1
Author 23,Stanford University,1
Author 230,MIT,1
Author 231,ETH Zurich,1
Author 232,California Institute of Technology,1
Author 233,MIT,1
Author 234,University of Melbourne,1
Author 235,Peking University,1
Author 236,Peking University,1
Author 237,University of Cambridge,1
Author 238,University of Tokyo,1
Author 239,MIT,1
Author 24,Yale University,1
Author 240,National University of Singapore,1
Author 241,Peking University,1
Author 242,University of Oxford,1
Author 243,Princeton University,1
Author 244,Tsinghua University,1
Author 245,University of Hong Kong,1
Author 246,University of Tokyo,1
Author 247,University of Hong Kong,1
Author 248,University of Hong Kong,1
Author 249,MIT,1
Author 25,University of Toronto,1
Author 250,University of Cambridge,1
Author 251,California Institute of Technology,1
Author 252,Columbia University,1
Author 253,ETH Zurich,1
Author 254,Yale University,1
Author 255,University of Hong Kong,1
Author 256,California Institute of Technology,1
Author 257,National University of Singapore,1
Author 258,University of Tokyo,1
Author 259,University of Tokyo,1
Author 26,University of Sydney,1
Author 260,University of Oxford,1
Author 261,University of Chicago,1
Author 262,University of Hong Kong,1
Author 263,Princeton University,1
Author 264,University of Cambridge,1
Author 265,Stanford University,1
Author 266,Harvard University,1
Author 267,University of Cambridge,1
Author 268,ETH Zurich,1
Author 269,Imperial College London,1
Author 27,MIT,1
Author 270,Tsinghua University,1
Author 271,University of Cambridge,1
Author 272,Imperial College London,1
Author 273,University of Melbourne,1
Author 274,University of Oxford,1
Author 275,University of Tokyo,1
Author 276,Imperial College London,1
Author 277,Yale University,1
Author 278,University of Chicago,1
Author 279,Peking University,1
Author 28,University of Chicago,1
Author 280,Stanford University,1
Author 281,University of Chicago,1
Author 282,University of Hong Kong,1
Author 283,Columbia University,1
Author 284,Columbia University,1
Author 285,University of Melbourne,1
Author 286,Yale University,1
Author 287,Peking University,1
Author 288,Yale University,1
Author 289,Stanford University,1
Author 29,University of Melbourne,1
Author 290,Peking University,1
Author 291,California Institute of Technology,1
Author 292,University of Sydney,1
Author 293,University of Hong Kong,1
Author 294,Stanford University,1
Author 295,California Institute of Technology,1
Author 296,Peking University,1
Author 297,University of Oxford,1
Author 298,University of Sydney,1
Author 299,Imperial College London,1
Author 3,Tsinghua University,1
Author 30,University of Tokyo,1
Author 300,University of Toronto,1
Author 301,Princeton University,1
Author 302,California Institute of Technology,1
Author 303,University of Tokyo,1
Author 304,University of Hong Kong,1
Author 305,University of Cambridge,1
Author 306,Harvard University,1
Author 307,University of Sydney,1
Author 308,Columbia University,1
Author 309,University of Hong Kong,1
Author 31,Harvard University,1
Author 310,Imperial College London,1
Author 311,University of Hong Kong,1
Author 312,MIT,1
Author 313,Tsinghua University,1
Author 314,University of Tokyo,1
Author 315,University of Toronto,1
Author 316,University of Sydney,1
Author 317,University of Tokyo,1
Author 318,University of Cambridge,1
Author 319,ETH Zurich,1
Author 32,Peking University,1
Author 320,Stanford University,1
Author 321,University of Hong Kong,1
Author 322,University of Cambridge,1
Author 323,Stanford University,1
Author 324,Yale University,1
Author 325,University of Toronto,1
Author 326,ETH Zurich,1
Author 327,University of Tokyo,1
Author 328,Stanford University,1
Author 329,Tsinghua University,1
Author 33,Princeton University,1
Author 330,MIT,1
Author 331,National University of Singapore,1
Author 332,University of Hong Kong,1
Author 333,ETH Zurich,1
Author 334,Peking University,1
Author 335,Harvard University,1
Author 336,California Institute of Technology,1
Author 337,Columbia University,1
Author 338,Peking University,1
Author 339,Stanford University,1
Author 34,University of Melbourne,1
Author 340,University of Sydney,1
Author 341,University of Cambridge,1
Author 342,Stanford University,1
Author 343,University of Toronto,1
Author 344,Harvard University,1
Author 345,Harvard University,1
Author 346,Harvard University,1
Author 347,ETH Zurich,1
Author 348,University of Sydney,1
Author 349,National University of Singapore,1
Author 35,Princeton University,1
Author 350,University of Chicago,1
Author 351,University of Hong Kong,1
Author 352,Princeton University,1
Author 353,University of Hong Kong,1
Author 354,Yale University,1
Author 355,Stanford University,1
Author 356,MIT,1
Author 357,University of Sydney,1
Author 358,Harvard University,1
Author 359,ETH Zurich,1
Author 36,Yale University,1
Author 360,Columbia University,1
Author 361,California Institute of Technology,1
Author 362,ETH Zurich,1
Author 363,Peking University,1
Author 364,National University of Singapore,1
Author 365,Imperial College London,1
Author 366,Harvard University,1
Author 367,MIT,1
Author 368,Stanford University,1
Author 369,Princeton University,1
Author 37,National University of Singapore,1
Author 370,Harvard University,1
Author 371,Tsinghua University,1
Author 372,ETH Zurich,1
Author 373,Yale University,1
Author 374,University of Melbourne,1
Author 375,University of Toronto,1
Author 376,University of Hong Kong,1
Author 377,Harvard University,1
Author 378,Columbia University,1
Author 379,MIT,1
Author 38,University of Chicago,1
Author 380,University of Melbourne,1
Author 381,University of Sydney,1
Author 382,University of Hong Kong,1
Author 383,Peking University,1
Author 384,Columbia University,1
Author 385,University of Chicago,1
Author 386,Tsinghua University,1
Author 387,California Institute of Technology,1
Author 388,University of Tokyo,1
Author 389,University of Sydney,1
Author 39,Columbia University,1
Author 390,Tsinghua University,1
Author 391,University of Chicago,1
Author 392,MIT,1
Author 393,University of Hong Kong,1
Author 394,Columbia University,1
Author 395,University of Sydney,1
Author 396,Harvard University,1
Author 397,MIT,1
Author 398,California Institute of Technology,1
Author 399,Princeton University,1
Author 4,University of Sydney,1
Author 40,University of Chicago,1
Author 400,Columbia University,1
Author 401,University of Cambridge,1
Author 402,University of Melbourne,1
Author 403,University of Hong Kong,1
Author 404,University of Toronto,1
Author 405,Tsinghua University,1
Author 406,University of Toronto,1
Author 407,MIT,1
Author 408,University of Cambridge,1
Author 409,Stanford University,1
Author 41,Columbia University,1
Author 410,University of Chicago,1
Author 411,University of Toronto,1
Author 412,National University of Singapore,1
Author 413,University of Chicago,1
Author 414,Imperial College London,1
Author 415,Harvard University,1
Author 416,University of Melbourne,1
Author 417,University of Sydney,1
Author 418,University of Toronto,1
Author 419,University of Cambridge,1
Author 42,University of Toronto,1
Author 420,Columbia University,1
Author 421,Tsinghua University,1
Author 422,National University of Singapore,1
Author 423,Princeton University,1
Author 424,University of Cambridge,1
Author 425,Yale University,1
Author 426,Stanford University,1
Author 427,Columbia University,1
Author 428,Peking University,1
Author 429,University of Melbourne,1
Author 43,National University of Singapore,1
Author 430,California Institute of Technology,1
Author 431,University of Sydney,1
Author 432,Peking University,1
Author 433,California Institute of Technology,1
Author 434,Tsinghua University,1
Author 435,Peking University,1
Author 436,University of Tokyo,1
Author 437,Imperial College London,1
Author 438,Columbia University,1
Author 439,Columbia University,1
Author 44,University of Tokyo,1
Author 440,MIT,1
Author 441,University of Toronto,1
Author 442,University of Hong Kong,1
Author 443,ETH Zurich,1
Author 444,Columbia University,1
Author 445,Yale University,1
Author 446,Princeton University,1
Author 447,University of Oxford,1
Author 448,University of Chicago,1
Author 449,Imperial College London,1
Author 45,Yale University,1
Author 450,ETH Zurich,1
Author 451,University of Chicago,1
Author 452,University of Hong Kong,1
Author 453,Tsinghua University,1
Author 454,University of Sydney,1
Author 455,Yale University,1
Author 456,University of Hong Kong,1
Author 457,Princeton University,1
Author 458,University of Oxford,1
Author 459,Princeton University,1
Author 46,University of Melbourne,1
Author 460,MIT,1
Author 461,California Institute of Technology,1
Author 462,Peking University,1
Author 463,Harvard University,1
Author 464,Princeton University,1
Author 465,University of Toronto,1
Author 466,Princeton University,1
Author 467,MIT,1
Author 468,University of Cambridge,1
Author 469,Columbia University,1
Author 47,ETH Zurich,1
Author 470,MIT,1
Author 471,University of Melbourne,1
Author 472,California Institute of Technology,1
Author 473,University of Oxford,1
Author 474,University of Melbourne,1
Author 475,University of Sydney,1
Author 476,Imperial College London,1
Author 477,Peking University,1
Author 478,University of Chicago,1
Author 479,University of Oxford,1
Author 48,Princeton University,1
Author 480,MIT,1
Author 481,University of Oxford,1
Author 482,Peking University,1
Author 483,Imperial College London,1
Author 484,Yale University,1
Author 485,Stanford University,1
Author 486,University of Tokyo,1
Author 487,Princeton University,1
Author 488,University of Hong Kong,1
Author 489,University of Chicago,1
Author 49,Imperial College London,1
Author 490,University of Tokyo,1
Author 491,California Institute of Technology,1
Author 492,University of Tokyo,1
Author 493,Princeton University,1
Author 494,Imperial College London,1
Author 495,University of Hong Kong,1
Author 496,University of Sydney,1
Author 497,University of Cambridge,1
Author 498,Columbia University,1
Author 499,University of Chicago,1
Author 5,Princeton University,1
Author 50,MIT,1
Author 500,Yale University,1
Author 501,Columbia University,1
Author 502,Peking University,1
Author 503,Princeton University,1
Author 504,Stanford University,1
Author 505,ETH Zurich,1
Author 506,University of Oxford,1
Author 507,Princeton University,1
Author 508,University of Toronto,1
Author 509,Yale University,1
Author 51,University of Sydney,1
Author 510,Imperial College London,1
Author 511,University of Tokyo,1
Author 512,Princeton University,1
Author 513,Stanford University,1
Author 514,Tsinghua University,1
Author 515,University of Toronto,1
Author 516,University of Melbourne,1
Author 517,Peking University,1
Author 518,Peking University,1
Author 519,Tsinghua University,1
Author 52,University of Tokyo,1
Author 520,University of Melbourne,1
Author 521,California Institute of Technology,1
Author 522,Yale University,1
Author 523,Columbia University,1
Author 524,Stanford University,1
Author 525,Columbia University,1
Author 526,Yale University,1
Author 527,University of Chicago,1
Author 528,Columbia University,1
Author 529,University of Melbourne,1
Author 53,ETH Zurich,1
Author 530,Princeton University,1
Author 531,University of Toronto,1
Author 532,Peking University,1
Author 533,Columbia University,1
Author 534,California Institute of Technology,1
Author 535,Harvard University,1
Author 536,University of Toronto,1
Author 537,University of Tokyo,1
Author 538,Imperial College London,1
Author 539,MIT,1
Author 54,California Institute of Technology,1
Author 540,National University of Singapore,1
Author 541,ETH Zurich,1
Author 542,University of Hong Kong,1
Author 543,Yale University,1
Author 544,University of Tokyo,1
Author 545,University of Hong Kong,1
Author 546,University of Hong Kong,1
Author 547,University of Chicago,1
Author 548,Peking University,1
Author 549,California Institute of Technology,1
Author 55,University of Cambridge,1
Author 56,National University of Singapore,1
Author 57,National University of Singapore,1
Author 58,University of Cambridge,1
Author 59,Peking University,1
Author 6,Imperial College London,1
Author 60,California Institute of Technology,1
Author 61,National University of Singapore,1
Author 62,Tsinghua University,1
Author 63,University of Cambridge,1
Author 64,Stanford University,1
Author 65,University of Oxford,1
Author 66,University of Sydney,1
Author 67,University of Melbourne,1
Author 68,Harvard University,1
Author 69,MIT,1
Author 7,Tsinghua University,1
Author 70,National University of Singapore,1
Author 71,Imperial College London,1
Author 72,University of Melbourne,1
Author 73,Harvard University,1
Author 74,University of Melbourne,1
Author 75,University of Melbourne,1
Author 76,University of Oxford,1
Author 77,ETH Zurich,1
Author 78,University of Oxford,1
Author 79,University of Toronto,1
Author 8,University of Chicago,1
Author 80,MIT,1
Author 81,Harvard University,1
Author 82,MIT,1
Author 83,University of Hong Kong,1
Author 84,University of Tokyo,1
Author 85,Peking University,1
Author 86,ETH Zurich,1
Author 87,Columbia University,1
Author 88,University of Sydney,1
Author 89,University of Chicago,1
Author 9,University of Oxford,1
Author 90,University of Cambridge,1
Author 91,University of Chicago,1
Author 92,California Institute of Technology,1
Author 93,Imperial College London,1
Author 94,Yale University,1
Author 95,University of Oxford,1
Author 96,University of Hong Kong,1
Author 97,Stanford University,1
Author 98,Imperial College London,1
Author 99,University of Toronto,1
"Azhar, Mohammad Q. and Powers, Jillian and Musgrove, Ann",University of Tokyo,1
B. -H. Chen; L. -H. Chen; C. -C. Chen; C. -H. Chen,University of Melbourne,1
B. -H. Chen; T. -F. Huang; S. -C. Chou,Columbia University,1
B. A. da Silva; S. A. da Costa Cavalheiro; L. Foss; A. M. P. Fleischmann; A. V. Garcez,Imperial College London,1
B. Ben Youssef; B. Berry; M. Sjoerdsma,Princeton University,1
B. Chowdhury; D. Kafura; A. Johri,Tsinghua University,1
B. F. Tivnan,University of Chicago,1
B. Fradi; L. Cheniti-Belcadhi,University of Melbourne,1
B. Hamlin; J. Riehl; A. J. Hamlin; A. Monte,Yale University,1
B. K. M. K. Pedersen; K. E. Andersen; A. J⊘rgensen; S. Köslich; F. Sherzai; J. Nielsen,ETH Zurich,1
B. Kalluri; P. Prasad; P. Sharma; D. Chippa,University of Toronto,1
B. Khayut; L. Fabri; M. Avikhana,Columbia University,1
B. Khayut; L. Fabri; M. Avikhana,Stanford University,1
B. Khayut; L. Fabri; M. Avikhana,University of Sydney,1
B. Kybartas; R. Bidarra,Tsinghua University,1
B. Li,University of Melbourne,1
B. Li; B. Sun; W. Yao; Y. He; G. Song,University of Hong Kong,1
B. Li; W. Shen,Peking University,1
B. Li; Z. Tang,MIT,1
B. Longo,Imperial College London,1
B. Lu; H. Zhang,ETH Zurich,1
B. M. Dungan; P. L. Fernandez,National University of Singapore,1
B. Patkai; S. J. Torvinen,Princeton University,1
B. R. Carlisle,Harvard University,1
B. Sabitzer; H. Demarle-Meusel; M. Jarnig,University of Toronto,1
B. Worrell; C. Brand; A. Repenning,National University of Singapore,1
B. Yang; G. Misirli; A. Wipat; J. Hallinan,University of Tokyo,1
B. Yett; C. Snyder; N. Hutchins; G. Biswas,Imperial College London,1
"B\""{o}ttcher, Axel and Thurner, Veronika",Yale University,1
Bahaludin H.; Abdullah M.H.; Hussin M.; Laham M.F.; Ismail Z.,University of Melbourne,1
"Bakala, Ewelina and Gerosa, Anaclara and Hourcade, Juan Pablo and Pascale, Maria and Hergatacorzian, Camila and Tejera, Gonzalo",Yale University,1
"Bakala, Ewelina and Hourcade, Juan Pablo and Tejera, Gonzalo",University of Cambridge,1
Balasamy K.; Seethalakshmi V.,MIT,1
Bambi S.; Galazzi A.; Lucchini A.,ETH Zurich,1
Bandyopadhyay U.; Sen D.; Ahuja D.; Mahapatra S.P.; Biswas D.; Maiti R.; Chakraborty S.; Hazra A.; Parua S.; Basak A.K.; Das A.; Paul N.; Purkait M.P.; Syamal A.K.; Dey R.; Bhattacharya K.; Adhikary K.; Bhattacharjee A.,National University of Singapore,1
"Bao, Yeting and Hosseini, Hadi",Princeton University,1
"Bao, Yeting and Hosseini, Hadi",University of Melbourne,1
"Barat\`{e}, Adriano and Ludovico, Luca A. and Mauro, Davide A.",Yale University,1
"Barbero, Giulio and G\'{o}mez-Maureira, Marcello A. and Hermans, Felienne F.J.",Columbia University,1
"Barbosa, Luciana Leal da Silva and Maltempi, Marcus Vinicius",University of Chicago,1
"Barendsen, Erik and Stoker, Idzard",University of Chicago,1
"Barricelli, Barbara Rita and Fogli, Daniela and Gargioni, Luigi and Locoro, Angela and Valtolina, Stefano",Columbia University,1
"Bart, Austin Cory",Peking University,1
"Basawapatna, Ashok and Koh, Kyu Han and Repenning, Alexander and Webb, David C. and Marshall, Krista Sekeres",Peking University,1
"Basso, Demis and Fronza, Ilenia and Colombi, Alessandro and Pahl, Claus",Harvard University,1
"Basu, Satabdi and Disalvo, Betsy and Rutstein, Daisy and Xu, Yuning and Roschelle, Jeremy and Holbert, Nathan",California Institute of Technology,1
"Basu, Satabdi and Rutstein, Daisy and Xu, Yuning and Shear, Linda",University of Tokyo,1
"Beason, Kara and Fenwick, James B. and Norris, Cindy",ETH Zurich,1
"Bell, Tim",California Institute of Technology,1
